,Li-Li,Li-Zn,Li-Si,Zn-Zn,Zn-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.3720450972314557e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,1.2564554937697813e-05,9.044242584289378e-07,0.0,0.0,0.0,0.0,0.8
9,7.436724749287632e-05,7.23283849758718e-06,2.6705030006667603e-07,0.0,0.0,0.0,0.9
10,0.0003462419648446015,4.2706790249126195e-05,3.647004893363918e-06,0.0,7.146068214747162e-07,2.3820227382490542e-07,1.0
11,0.0012977011545758437,0.00020233418311359618,3.07832573866557e-05,2.993034665013216e-06,9.576950203226655e-06,6.7910846054366786e-06,1.1
12,0.004013360192294008,0.0007828602380957148,0.00017806217015831392,3.109366817931943e-05,7.338259413635173e-05,6.664333170956783e-05,1.2000000000000002
13,0.010446887737105856,0.002575101394138953,0.0008291907622128592,0.00020575583311601914,0.0004131127162389152,0.0004263171881065785,1.3
14,0.023445757019422357,0.007389466971159527,0.0031896804041485175,0.0010336780957071114,0.001857336415805861,0.0021017411543384685,1.4000000000000001
15,0.04655797376461178,0.018918807135211095,0.01032310385045424,0.004199099550489119,0.006905412899538999,0.008406579082965979,1.5
16,0.0837951583264402,0.04365715319418788,0.028498645333915527,0.014120021974286837,0.021593829560443655,0.02788329661967786,1.6
17,0.1391512896635007,0.09095498560871482,0.06799732800688547,0.03992992191420205,0.05740842146040304,0.07753174033421138,1.7000000000000002
18,0.2153133615539244,0.17090986623098575,0.14193158916631762,0.09621498760334421,0.13091414328796422,0.18235000408907948,1.8
19,0.3116274474830332,0.28993924694791945,0.2619444178222866,0.19990061339441376,0.25832433137964994,0.3660091227004728,1.9000000000000001
20,0.42291338492762387,0.44610711123015295,0.4312932194089942,0.3621395150316833,0.44524898799578666,0.6330152909462889,2.0
21,0.5407382137007651,0.6272226945546476,0.6389458370996302,0.5782613179279503,0.6775568481158949,0.9537238229299774,2.1
22,0.6564313419073474,0.8132141448905784,0.8600733863841129,0.8229720893507629,0.9216599244964981,1.2678432281093361,2.2
23,0.7633155392966028,0.9819340655414452,1.0644731834068037,1.056826083911979,1.136549431514926,1.5094421697703464,2.3000000000000003
24,0.8573772472305471,1.1161815291112416,1.2271910142141134,1.2419035301875467,1.2903054937608516,1.6369788372271574,2.4000000000000004
25,0.937330307394891,1.208699729204437,1.3344030556304296,1.3564025139769966,1.3706354537399992,1.6476337866301645,2.5
26,1.0037984170001126,1.2620148087741414,1.3839136779381997,1.3991014281748915,1.384523648771279,1.5700207088909446,2.6
27,1.0568027593240572,1.2834843848769304,1.3836211469604642,1.383959254459806,1.3497237547084024,1.4451461945585515,2.7
28,1.0937367612926319,1.2802579241209644,1.3486892917760263,1.3311795814414642,1.2851445381047748,1.3089055106089658,2.8000000000000003
29,1.1111281888196443,1.2580019527731718,1.296278891074946,1.259853008421128,1.2061318736004838,1.1836068595438904,2.9000000000000004
30,1.1089569502441574,1.222261117486678,1.239427287321635,1.1843207952644013,1.1248165888577395,1.0786599552356848,3.0
31,1.0921170137030924,1.178944360302092,1.1841974194577147,1.114058689451886,1.051123126768518,0.9957790101872267,3.1
32,1.0671137213121513,1.133279074681866,1.1319157371233055,1.0546656675484558,0.99186929978342,0.9337407926766379,3.2
33,1.0383350931231434,1.0892924251127676,1.083415409446433,1.00786124829175,0.9494835997466483,0.8907828894427796,3.3000000000000003
34,1.007914364401211,1.0500285143609402,1.0407265264394592,0.9714594107318615,0.9224919848739149,0.8652144690115638,3.4000000000000004
35,0.9776974508502921,1.0173558556474158,1.0056573485450753,0.9416822156404964,0.9077512670716021,0.8550395785270747,3.5
36,0.9500370891187049,0.9920934336159994,0.978443918773983,0.9167821993016831,0.9024675820519356,0.8573137467237132,3.6
37,0.9269803458079797,0.9750178871655419,0.958413937045295,0.8978771044128143,0.9045449485731842,0.8680926596647506,3.7
38,0.909549130788052,0.9671774290791787,0.9452215111040331,0.8863059232037278,0.9121681103198808,0.8833663686513232,3.8000000000000003
39,0.897925367378045,0.9687078297367487,0.9389853771970083,0.881625924889809,0.9240704130655746,0.9003830729406779,3.9000000000000004
40,0.8919946453238163,0.9775571792926872,0.9396398870867292,0.8825939541594181,0.9399471206245102,0.9182246528117076,4.0
41,0.8916874924550239,0.9895528722145371,0.9464043738499076,0.8885428038575881,0.9596998588534048,0.9370457763097539,4.1000000000000005
42,0.897046665950319,1.0001081319141731,0.9575938375970765,0.8989392610153708,0.982016157767732,0.9566191639512236,4.2
43,0.907641419773157,1.006683097578683,0.9709105558129971,0.912503053036623,1.0040191441695074,0.9754955928501673,4.3
44,0.9215944748309695,1.0099961171195866,0.9841377001860956,0.9274212378871594,1.0225371121768163,0.9913611779989491,4.4
45,0.935819213170012,1.0124425852866739,0.9957752870497576,0.9417739100656931,1.0357462181623394,1.0020563331567636,4.5
46,0.9481151737244198,1.0152491348380779,1.0052903920329304,0.9533719818336794,1.0436851889188625,1.0065122132297444,4.6000000000000005
47,0.9587446846693026,1.017654713105013,1.0129407715081453,0.9601117198009268,1.0474379977213522,1.005206959861109,4.7
48,0.9691963525454715,1.0186427460915646,1.0192932158366377,0.9612669968639136,1.0481384413071764,1.0000509013280154,4.800000000000001
49,0.9796991050974363,1.018416235399908,1.024718830595558,0.9579263809783508,1.046665100327434,0.9936937770759838,4.9
50,0.9886830861008529,1.0179161175612867,1.0289971242423979,0.9516103528625589,1.0436905139563526,0.9884025476836398,5.0
51,0.9944414003146768,1.0176862427986793,1.031228915429582,0.9430464683086325,1.0396061428306813,0.9851842359774473,5.1000000000000005
52,0.9968163983727195,1.017623557548909,1.0304594445772617,0.9329056395025219,1.0345211920261512,0.9838103528729247,5.2
53,0.997285669522014,1.0173371828344258,1.0266946895677596,0.9233340508361247,1.0285622143936373,0.9834103796541177,5.300000000000001
54,0.9974769288536758,1.0164337258704939,1.0211999480814127,0.9180690530206188,1.0221569034892428,0.9829757174399013,5.4
55,0.9975386880548778,1.0146138127936892,1.0156748710705477,0.9204860993376993,1.0159962098871527,0.9817885159967947,5.5
56,0.9961062115337882,1.0118324271513577,1.011174350733909,0.9308169520008389,1.010787580604539,0.9797858421437888,5.6000000000000005
57,0.9918974222462005,1.008665418698825,1.0077607452620294,0.9449646762040869,1.007084856968852,0.9774620365822893,5.7
58,0.9850731421097797,1.0064341865415967,1.0049954913719255,0.9568859124234151,1.0053292686571653,0.9754250732906345,5.800000000000001
