,Co-Co,Co-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,4.058055316685761e-07,5.410740422247682e-07,0.0,0.9
10,4.094058527474975e-06,1.2155162218935899e-05,2.413123429057994e-07,1.0
11,2.7752797151254543e-05,0.00011007052388381883,5.038826121928822e-06,1.1
12,0.00014636019060792368,0.00066715941253414,4.38139086127709e-05,1.2000000000000002
13,0.0006297920125591713,0.003162595618471312,0.0002724079923716971,1.3
14,0.002281480254162492,0.012215984898314176,0.0013192614483933654,1.4000000000000001
15,0.007109530637828689,0.039162429293413285,0.005233737302415388,1.5
16,0.019314870973926528,0.10535583804083326,0.01737513024700453,1.6
17,0.04617421702004256,0.24023949729096203,0.04880219562554613,1.7000000000000002
18,0.0978248619562015,0.46902722290536897,0.11687972820722124,1.8
19,0.18482183730849605,0.7921268619779469,0.24042909754867423,1.9000000000000001
20,0.3133831847062799,1.1696714014517555,0.428232155742578,2.0
21,0.47993076677660074,1.5273695732253305,0.6669301365426532,2.1
22,0.6679854422809838,1.7862797213377815,0.9193584622515079,2.2
23,0.850728394407053,1.8987420456978288,1.1383173887459077,2.3000000000000003
24,0.9999737423965451,1.8661002710092736,1.2874020039773966,2.4000000000000004
25,1.0970240358455698,1.7288037639435363,1.3545544454636704,2.5
26,1.1382881600229595,1.5407415277435599,1.3513586640338964,2.6
27,1.1329619989227127,1.347023941292397,1.3021319124267245,2.7
28,1.0962615417700976,1.1749957936291164,1.2315518662509242,2.8000000000000003
29,1.0430431246396203,1.0359718614594053,1.157430297192303,2.9000000000000004
30,0.9845639834086051,0.9311089846496605,1.0900486842436652,3.0
31,0.9288168550844097,0.8570398066547247,1.0348544541459275,3.1
32,0.8826609918900711,0.8094860660084896,0.9944497390243334,3.2
33,0.8528895364195845,0.7846862582274552,0.9687852003958056,3.3000000000000003
34,0.8445703653763457,0.7794447796306616,0.9552632050221502,3.4000000000000004
35,0.8581428300809413,0.7907198563497079,0.9500224640801708,3.5
36,0.8886785402911547,0.8151591759579089,0.9497387729141,3.6
37,0.9287342785714937,0.8488521784751667,0.9526940713368854,3.7
38,0.9723563551771829,0.88757130853795,0.9585774738201714,3.8000000000000003
39,1.0167216006222,0.927407151854064,0.9673898174084558,3.9000000000000004
40,1.0606693100641622,0.9653225176135798,0.9784032896832068,4.0
41,1.1021066265296922,0.9991387554578394,0.9899626363765921,4.1000000000000005
42,1.1365850835704046,1.0270335714404202,1.0001518849125022,4.2
43,1.1582781247597287,1.0472687319416336,1.007708395983725,4.3
44,1.162735978965629,1.0585737825316268,1.0124274660869936,4.4
45,1.149270040327727,1.060790702544882,1.0148191182441402,4.5
46,1.1211840078154884,1.0552027785832467,1.0154168871396978,4.6000000000000005
47,1.0839950831560634,1.044316616847651,1.0143368776263495,4.7
48,1.0433078348596379,1.0310644642890503,1.0114362783982054,4.800000000000001
49,1.0037185400485371,1.017689378540952,1.006944446447097,4.9
50,0.968844804853162,1.0051047043676606,1.0019289611449123,5.0
51,0.9417541916307924,0.9934119429945227,0.9979660734316661,5.1000000000000005
52,0.9249540704598698,0.9831564010914932,0.9962073086500346,5.2
53,0.9196017832798761,0.9758843930411171,0.9966916753491842,5.300000000000001
54,0.9245203313938369,0.9732168305673518,0.9984078729451353,5.4
55,0.936443589993427,0.9753884763113554,0.9999360938874877,5.5
56,0.9518290767939028,0.9808689720277657,1.0002599080270993,5.6000000000000005
57,0.9682798409655577,0.9874310497229202,0.999307834552714,5.7
58,0.984071096872839,0.9934937170251841,0.9978239278481374,5.800000000000001
59,0.9972676483334064,0.9984875905943916,0.9966774948367636,5.9
60,1.0062348992723347,1.0023594557969133,0.9962815507103248,6.0
61,1.010660586538206,1.0051869601262877,0.9965337166799176,6.1000000000000005
62,1.0114046206749432,1.007246387811591,0.9970213549430896,6.2
63,1.0094856974044712,1.0090541222200946,0.9972913160033179,6.300000000000001
64,1.005436085633706,1.0110511496193688,0.9972061639257997,6.4
65,0.9992762071958975,1.0131387114228483,0.9970543362081264,6.5
66,0.9908225789139323,1.0145264236582952,0.9971628992830694,6.6000000000000005
67,0.9802193811895734,1.0141841575146848,0.9975286580439896,6.7
68,0.9684971871595972,1.0116515087871434,0.9979484634352049,6.800000000000001
69,0.9575850502015776,1.0075286770503513,0.9982810428661486,6.9
70,0.9495318079954754,1.0031662081646664,0.9984387442765005,7.0
71,0.945500388554635,0.9998181629904718,0.9983279864138632,7.1000000000000005
72,0.9453406275174949,0.9980590661455818,0.9979203199621325,7.2
73,0.948007753465774,0.9978447752885828,0.9972787555003741,7.300000000000001
74,0.952326986263224,0.9988673754919742,0.9965427505246759,7.4
75,0.9573063375110026,1.0008326511096102,0.9959840590006187,7.5
76,0.9619602598358112,1.003561177904402,0.9959718335558733,7.6000000000000005
77,0.9653673699711891,1.0067872939163531,0.9967391325932583,7.7
78,0.9672608934992598,1.0098200856752597,0.9981531540467072,7.800000000000001
79,0.9685069790277948,1.0116755278211387,0.9997337522375691,7.9
80,0.9707253611626878,1.0117675322734445,1.0009207518929168,8.0
81,0.9750227129460987,1.0103372440577087,1.0013671136639686,8.1
82,0.980820904658814,1.0080979804546304,1.001043766021257,8.200000000000001
83,0.9859686758844283,1.0055903691141939,1.0001735130381786,8.3
84,0.9880974962807045,1.0029383015411737,0.9991318828127997,8.4
85,0.9859723499712963,1.0000705027468588,0.9983151815953152,8.5
86,0.9799937063405061,0.9970773961222672,0.997959318121928,8.6
87,0.9718731509884343,0.9943901096541281,0.9980374688942771,8.700000000000001
88,0.9637744537395135,0.9926005575730958,0.9983695905784311,8.8
89,0.9574329264169016,0.9920067110295362,0.9988328433591913,8.9
90,0.9537916669754816,0.9923661731636608,0.9994036340975098,9.0
91,0.9531203212337608,0.9932357669679053,0.9999917531218616,9.1
92,0.9551945623329711,0.9945233243612539,1.000384859024767,9.200000000000001
93,0.9593204476802766,0.9965682315415272,1.0004566258519711,9.3
94,0.9643508084800183,0.9997349166614586,1.000362118276577,9.4
95,0.9688549306511146,1.0040565622796829,1.0004773342241888,9.5
96,0.9715971958074145,1.0092038761862834,1.0011531603290018,9.600000000000001
97,0.9722857747780486,1.0146414947452047,1.0024584911086287,9.700000000000001
98,0.9718556965845736,1.0197512202921564,1.0040759883126407,9.8
99,0.9715243783590749,1.0238367529573091,1.0054827672102489,9.9
100,0.971576244374737,1.02615080950335,1.0062699322832203,10.0
