,Li-Li,Li-Si,Li-Au,Si-Si,Si-Au,Au-Au,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,4.0785273489647485e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,3.714540731341417e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,2.197871843694324e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00010288913927588048,0.0,0.0,0.0,0.0,0.0,0.8
9,0.0003913329659329751,1.4310127099827867e-06,2.862025419965573e-07,0.0,0.0,0.0,0.9
10,0.0012402886437104317,1.2139516648737633e-05,5.567916218744938e-06,0.0,0.0,0.0,1.0
11,0.003368802016528688,7.99054930029222e-05,4.736269498640926e-05,0.0,2.749447134748091e-06,0.0,1.1
12,0.008092736406875736,0.0004040671020680375,0.0002788660629555003,4.4664768703982756e-05,2.7854151603042804e-05,0.0,1.2000000000000002
13,0.01769437912287438,0.001671425276495515,0.0013031358419034022,0.00034526722692075,0.00018390511696860336,1.1253406073061917e-06,1.3
14,0.0358314763264079,0.005836613125343146,0.004995744364544084,0.0019051509085886624,0.0009501751420271594,9.388866548270704e-06,1.4000000000000001
15,0.06749081831294895,0.01750628680186605,0.016021159025796393,0.008243946751540596,0.003949376730582522,5.7205531806881124e-05,1.5
16,0.117909063019361,0.045585328668520705,0.043621275316534355,0.02848393789698362,0.013704775426648963,0.0002710470339459812,1.6
17,0.19070125257512519,0.10379455045876997,0.10217470562592611,0.07977837851418672,0.04034542557541554,0.0010576784548273056,1.7000000000000002
18,0.2863794536679579,0.2078898290665853,0.20847959103187824,0.18430264438524915,0.10174044400598631,0.003462324525621684,1.8
19,0.40209880631439693,0.3688256120821746,0.37477362992893476,0.35841748131177276,0.22095255221640867,0.009778675782200555,1.9000000000000001
20,0.5322200867144836,0.584473241806845,0.5996773227723067,0.6001801257024935,0.41463941518693515,0.0243159058764856,2.0
21,0.6689294299860511,0.835393092505512,0.8627116862148534,0.8834679317797184,0.6749956875720957,0.053904139480908636,2.1
22,0.8029882953164901,1.0890586111999467,1.1279794715124567,1.160155964511559,0.9595456303634724,0.10689174237124073,2.2
23,0.9250782243862175,1.3112406458883468,1.3566331454860714,1.3708160757381076,1.20438382775126,0.18938816300997088,2.3000000000000003
24,1.027569835539086,1.4771679776867277,1.5205068797136687,1.4670388156293293,1.357922895376371,0.29976919783849476,2.4000000000000004
25,1.105965882319794,1.5757666800232049,1.6086124267839823,1.435365412079794,1.4100149442093506,0.42603690175468023,2.5
26,1.1593069402938718,1.6078422697581891,1.6249413993994668,1.3021444012943006,1.3913984917363418,0.549745123893619,2.6
27,1.1894563540403236,1.583106146567808,1.5827442576307427,1.1164676245010725,1.344376356084868,0.6538004558348396,2.7
28,1.1998234731039068,1.517484300307581,1.500169321798054,0.9285997924333959,1.2924483977832593,0.7282455013651223,2.8000000000000003
29,1.1941676536925196,1.4290586452267584,1.3970246261649915,0.7749928809107284,1.2347115229321708,0.772577528860129,2.9000000000000004
30,1.1760029426056524,1.3330910345962443,1.2907294647824892,0.6704739751151302,1.162470492401932,0.7958292906070543,3.0
31,1.1487990019855425,1.2393454635372743,1.1927703838074066,0.6093315524394607,1.075809881198259,0.8123090789150579,3.1
32,1.1163560713975382,1.1530936785274508,1.1083449492596142,0.5758294704995712,0.9865694221104269,0.8326244343730378,3.2
33,1.082495792826458,1.0773210474400836,1.0390267951706407,0.5562450661960925,0.9113892981757815,0.8576428000716999,3.3000000000000003
34,1.050234011865786,1.0135144397090436,0.9855449184011383,0.5431985094844313,0.8634154958922928,0.8814579836161938,3.4000000000000004
35,1.0213933347946234,0.9616777519290568,0.9481841298672868,0.5331583938198559,0.8473135378792461,0.8980501019493349,3.5
36,0.9969934924050328,0.9212605580555927,0.9253257983916073,0.524666172023334,0.8589771879749805,0.9035738589704218,3.6
37,0.9778068604339272,0.8923998276366408,0.9129351261137978,0.5190136372842198,0.888894810399229,0.8955312977974128,3.7
38,0.9643915525623298,0.8755943984119251,0.9064205775454915,0.5192270570588483,0.9265416156607398,0.8745972337517032,3.8000000000000003
39,0.9565653184864409,0.8701724458677175,0.9030550186719581,0.5269501977759563,0.9639107745932312,0.848151384412395,3.9000000000000004
40,0.9530809914678727,0.8736983307012781,0.9026360515170855,0.5413476753186517,0.997235729681552,0.8286917399228411,4.0
41,0.9523164149369598,0.8830524609323592,0.906125337481122,0.5611217814381234,1.0267567740932915,0.8259565909191005,4.1000000000000005
42,0.9535054264797267,0.8959519028754509,0.913827607428437,0.5865815950599675,1.0554527173172283,0.8405473816029471,4.2
43,0.9569611421688903,0.9114630451818312,0.9247766979430373,0.6187523581370595,1.086951776773935,0.8656725327126373,4.3
44,0.9628617734362522,0.9293528610417219,0.937496188281305,0.6559223446295668,1.1222156549166717,0.8939859479060608,4.4
45,0.9702594722613024,0.9491144110098498,0.9509318364814112,0.6921370632341384,1.1572673185294184,0.9220501651294729,4.5
46,0.9777375545567748,0.9694700552578717,0.9646381853493625,0.7219192118633005,1.1854102924590904,0.9491769116284303,4.6000000000000005
47,0.9847559435191648,0.9885630331058016,0.978345289582663,0.7471489571828341,1.2019208436906479,0.9736409387609207,4.7
48,0.9917479414416548,1.0047872652168512,0.9914186721303282,0.7761813237612446,1.205939942577455,0.9918251751641718,4.800000000000001
