,In-In,In-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,2.020133448386661e-06,1.0
11,0.0,1.5109031331423782e-07,1.9518717975056133e-05,1.1
12,0.0,1.6670276427866473e-06,0.00019091096023261085,1.2000000000000002
13,0.0,1.3778143526733542e-05,0.0012228369002387524,1.3
14,6.761603690880971e-07,9.110477059507642e-05,0.006027100398411969,1.4000000000000001
15,8.533399471207511e-06,0.0004737452200707087,0.024374258957832913,1.5
16,6.544610774007891e-05,0.002046232553399161,0.08190566509538968,1.6
17,0.00037456246816196156,0.0075015416085467395,0.22908638313977028,1.7000000000000002
18,0.0017110118221145953,0.02347637109101324,0.5346586128848096,1.8
19,0.0064825687480864515,0.0628695987395052,1.046968156367964,1.9000000000000001
20,0.02073044299353863,0.14459938233474007,1.7354345271879124,2.0
21,0.056463199195213726,0.28746598636013576,2.464513526396451,2.1
22,0.1317610923463382,0.49844729328384296,3.0429382258477133,2.2
23,0.2649027716334708,0.7621770577698499,3.321501486752403,2.3000000000000003
24,0.4619487167012836,1.040686018336646,3.263847346824987,2.4000000000000004
25,0.7052082089730964,1.286346227565159,2.945820732186782,2.5
26,0.954532735502645,1.4608524365475661,2.501638505555233,2.6
27,1.164930498331356,1.5482317167491182,2.060874544326213,2.7
28,1.3081112407822448,1.5549441118117266,1.706394213742423,2.8000000000000003
29,1.3809757332336057,1.500322486962885,1.4615695106768503,2.9000000000000004
30,1.3973751906558016,1.4063714021093703,1.3033224822964975,3.0
31,1.3745895637022696,1.2929071438330597,1.1918500232852658,3.1
32,1.326335375553265,1.1770476861549768,1.1000815457620323,3.2
33,1.2633325439367042,1.0727839537553798,1.0246384627888068,3.3000000000000003
34,1.195259494813906,0.9890366365522769,0.9756079437759223,3.4000000000000004
35,1.13036167329131,0.9283809374106871,0.9594338925188222,3.5
36,1.0741953627899588,0.8884901433079943,0.9702354979591276,3.6
37,1.0294157066409024,0.8652062252189519,0.993450272055427,3.7
38,0.9961216883548619,0.8546741095979467,1.0153552129869732,3.8000000000000003
39,0.9724057984994997,0.8536740420354397,1.0294952186761415,3.9000000000000004
40,0.9557638460248218,0.8595283215828913,1.0358454413145899,4.0
41,0.9446181906319067,0.8706883211280004,1.0362536677326426,4.1000000000000005
42,0.9383103209358841,0.8868513242314823,1.0320519852227747,4.2
43,0.9361009367638066,0.9072885943776638,1.0249192667187004,4.3
44,0.9369709449952477,0.9291408046233287,1.017458573063162,4.4
45,0.9401480602198231,0.948482062300771,1.011693217862705,4.5
46,0.9451801742981325,0.9632424993183909,1.0076355691426615,4.6000000000000005
47,0.9516260407011624,0.9742932811930097,1.0036334771383764,4.7
48,0.9590400115340385,0.9836424478844463,0.9973466120477806,4.800000000000001
49,0.9671223849897191,0.9923534984406419,0.9864889677642474,4.9
50,0.9757110122893525,1.0003985151440156,0.9699245773185315,5.0
51,0.9846156516714551,1.007655959378565,0.9487597708356411,5.1000000000000005
52,0.9934529273604135,1.0141937137853132,0.9261709330969874,5.2
53,1.0016239130004498,1.0195732807471414,0.9058054288830039,5.300000000000001
54,1.0084430197833545,1.0224146720940306,0.890450345983052,5.4
55,1.0133521066684053,1.0210842804219635,0.8820646288686906,5.5
56,1.0161331339299469,1.015136350435433,0.8818192790793765,5.6000000000000005
57,1.016946716393833,1.006132425512944,0.8889767657063822,5.7
58,1.016152812709742,0.9967145110503102,0.9002084762696972,5.800000000000001
59,1.0141466576967686,0.9885486140251691,0.9110725028721107,5.9
60,1.0112808460490466,0.9813528857878453,0.9185630294042723,6.0
61,1.0078069023889946,0.9742000562387289,0.922547818757443,6.1000000000000005
62,1.0040982203652495,0.9675821250985208,0.9251830674133769,6.2
63,1.0010437647071229,0.9637963741778101,0.9286490288972793,6.300000000000001
64,0.999750215456587,0.9651348558535836,0.9329199484884185,6.4
65,1.000404757235952,0.9716960543009853,0.9360001963698878,6.5
66,1.00170426089138,0.9810742511107258,0.9365158405301425,6.6000000000000005
67,1.0018440140712142,0.9903392996186671,0.935301314755848,6.7
68,1.0000567986391904,0.9982341107849647,0.9339339980665201,6.800000000000001
69,0.9970846608042546,1.0052736342644921,0.9324717113767506,6.9
70,0.9944608081440368,1.011995168959218,0.9294564809836919,7.0
71,0.9935049762838105,1.017617107729143,0.9240708296436394,7.1000000000000005
72,0.9945941430892781,1.0204457639593008,0.9175955685357042,7.2
73,0.9969992755481919,1.0192917161192927,0.9122184433042394,7.300000000000001
74,0.9995097251701988,1.014464783551995,0.9085505932976929,7.4
75,1.0014262975739785,1.0076491078390184,0.9048092180920365,7.5
76,1.0028939025846724,1.000870631359997,0.8986489432321698,7.6000000000000005
77,1.0042372549139031,0.9954404727430619,0.8896730579164424,7.7
78,1.0052114930861136,0.9918489130515898,0.8801126068094468,7.800000000000001
79,1.0051367208428776,0.9905062434168055,0.8731319588412445,7.9
80,1.0036556191724784,0.9920459335824684,0.8706167524983018,8.0
81,1.0010583005682383,0.9965766609324165,0.8724401391922603,8.1
82,0.9979011214610426,1.0028796504417163,0.87723002770143,8.200000000000001
83,0.9945778640799748,1.008776078867924,0.8831052759172365,8.3
84,0.991259276022948,1.0124617521642296,0.8877128954978659,8.4
85,0.988087259739495,1.0135685206272942,0.8888067944289308,8.5
86,0.9853885736616429,1.0131136966943024,0.8861400445820724,8.6
87,0.9836735636174563,1.0124821553842343,0.8827514005748234,8.700000000000001
88,0.9833762323767541,1.0122516273252509,0.8833001334956676,8.8
89,0.9846028273553938,1.0118530383146176,0.8902057834834008,8.9
90,0.9870705238894063,1.010455551767976,0.9010645790725701,9.0
91,0.9901861393675885,1.0081833700021725,0.9100423318723667,9.1
92,0.99321771663551,1.0062551797188377,0.912534580020508,9.200000000000001
93,0.995575195789022,1.0059081418774432,0.9089818668765786,9.3
94,0.9971139261583855,1.007404134484646,0.9041474599100559,9.4
95,0.9982136599242116,1.0100975138807056,0.9026356059659868,9.5
96,0.9994154287289024,1.0131131804715832,0.905237369808653,9.600000000000001
97,1.0008763312185094,1.0158112660995475,0.909386766146422,9.700000000000001
98,1.0022621606649922,1.0178601589065535,0.9123716282981834,9.8
99,1.003190730360385,1.0191706168622803,0.9135159188884661,9.9
100,1.0035969576325656,1.0197921415273556,0.9136696220485948,10.0
