,Li-Li,Li-Ni,Ni-Ni,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.8823036928606015e-07,0.0,0.0,0.5
6,3.3373249733197575e-06,1.2172550666840876e-07,0.0,0.6000000000000001
7,2.4940034544399207e-05,1.5890233215488339e-06,0.0,0.7000000000000001
8,0.00013424699129253683,1.4529005764935681e-05,0.0,0.8
9,0.0005773139305495918,9.408977600189451e-05,6.191574214621484e-08,0.9
10,0.0020342488127922036,0.00048261121015391996,9.007871741324692e-07,1.0
11,0.005963235341286488,0.002040911071980902,1.2032611529204968e-05,1.1
12,0.01482709286807447,0.0072777056302054085,9.867753806017937e-05,1.2000000000000002
13,0.03203706536131586,0.02212567591835456,0.0005913149487359605,1.3
14,0.061822319547276426,0.05769580051162906,0.0027971173417514956,1.4000000000000001
15,0.10925686249034723,0.12975630118100054,0.010912706535789804,1.5
16,0.17972172670437575,0.25329288647038045,0.03560585514735831,1.6
17,0.2766551788149419,0.4327175931824381,0.09776821584378514,1.7000000000000002
18,0.3982064926749984,0.6539954296778172,0.22709184882208128,1.8
19,0.535584228784714,0.8865463941864323,0.4489537134803924,1.9000000000000001
20,0.6750138409373656,1.0955310709013288,0.7613458897257932,2.0
21,0.8021899080688448,1.255696663977004,1.1185966854326266,2.1
22,0.9064867539698619,1.3575351398827356,1.4419021580911948,2.2
23,0.9831505607717761,1.404645990266666,1.6560395703455861,2.3000000000000003
24,1.0332251292567087,1.4074646966021451,1.7258412945223511,2.4000000000000004
25,1.0616558798637272,1.37802260180491,1.6659886169313425,2.5
26,1.074234400339952,1.3272028242051435,1.5228350332002714,2.6
27,1.0749649574826643,1.2640903884961687,1.3474676529279153,2.7
28,1.0657274765702216,1.1964149153127628,1.1776077891525796,2.8000000000000003
29,1.0481145467060111,1.1308590880060774,1.0329933000576323,2.9000000000000004
30,1.0251399427714982,1.072513694447364,0.9198385228677225,3.0
31,1.001072871175922,1.0240624927639672,0.8379077875360521,3.1
32,0.9798337635188612,0.9859280391497882,0.7853542625086953,3.2
33,0.9636120196630463,0.9575704270025,0.7598099169612776,3.3000000000000003
34,0.9527488635749741,0.9387805193574617,0.7575236498845532,3.4000000000000004
35,0.9466985709331546,0.9299076064880478,0.7731134681981459,3.5
36,0.9450068079420234,0.9309647032121194,0.8006145508303651,3.6
37,0.9474557090859657,0.9405083480406964,0.8348069192042789,3.7
38,0.9534679835302201,0.9555319704726365,0.8718180150269608,3.8000000000000003
39,0.9616525368602092,0.972699092512337,0.9089510027170011,3.9000000000000004
40,0.9701888238353943,0.9896920846266338,0.9442664691306213,4.0
41,0.9777881948141306,1.005376789832133,0.9764177036691354,4.1000000000000005
42,0.9842100508946758,1.0190879874299061,1.0046777351923748,4.2
43,0.9897829540217732,1.0302002232766105,1.028724900418868,4.3
44,0.9944980920293537,1.038289897207461,1.0480682853545513,4.4
45,0.997767297899397,1.0432662672658648,1.0616050924588676,4.5
46,0.9991900903148586,1.0450636392711923,1.067777092923983,4.6000000000000005
47,0.9994254981017681,1.0433340639919215,1.065350071115944,4.7
48,0.9998189843862527,1.0377853097656322,1.054467922525427,4.800000000000001
49,1.0009005070997175,1.0290084302721982,1.0372965126834375,4.9
50,1.001680394815473,1.0187922002805456,1.0175744308700685,5.0
51,1.0009324431914828,1.0092783572914608,0.9991451561456572,5.1000000000000005
52,0.9988205642330479,1.0016876596292534,0.9844633596151943,5.2
53,0.9967133477652891,0.9959311298488841,0.9740916525057833,5.300000000000001
54,0.9956034110665399,0.9913540199815103,0.9674148608457305,5.4
55,0.9952619741642648,0.9876026028371019,0.9637771485197808,5.5
56,0.9948837718508008,0.9847932407799191,0.9629339582002729,5.6000000000000005
57,0.994062935609028,0.9832553568822875,0.9646356636808273,5.7
58,0.9930422167786535,0.9833239980875221,0.9682798465263286,5.800000000000001
59,0.9923063126024472,0.985064426886652,0.9732585932801299,5.9
60,0.9921196180831332,0.9879374733874633,0.979386334206363,6.0
61,0.9924155361811607,0.9909593909877775,0.9866902401421932,6.1000000000000005
62,0.9930348556430861,0.9934423297792493,0.9949047792690309,6.2
63,0.993995954802051,0.9954856960552799,1.0033106141387136,6.300000000000001
64,0.9954702219442887,0.9975834157452106,1.010957742795162,6.4
65,0.9975079348016833,0.9998555100627536,1.0170416309572565,6.5
66,0.9998118819580338,1.0018825392733104,1.021199823280849,6.6000000000000005
67,1.001829181217682,1.0033112996884375,1.0234398440835495,6.7
68,1.003099357492085,1.0043270326246152,1.023775812898557,6.800000000000001
69,1.003422059590098,1.0052598419481964,1.0221294120709403,6.9
70,1.0027232394598633,1.0058656846732865,1.0186418769985097,7.0
71,1.001070499155033,1.0053431276333,1.0138667397290524,7.1000000000000005
72,0.9988947916032738,1.0031807158903394,1.008529381274677,7.2
73,0.99687854894051,0.9998702560673383,1.0031618433073979,7.300000000000001
74,0.9954281534610881,0.9966674794226307,0.997977159073757,7.4
75,0.9944144988400125,0.9946283935747416,0.9930257649825488,7.5
76,0.9935405197181761,0.9939178215098792,0.9884992156478369,7.6000000000000005
77,0.9928037157711987,0.9940047160975923,0.9848859307996191,7.7
78,0.9924791498553727,0.9943253115807427,0.9827327804938162,7.800000000000001
79,0.9927761185584358,0.9946635982305552,0.9822194621082703,7.9
80,0.9936472214144974,0.9950626078046773,0.9829454298914102,8.0
81,0.9948683358794516,0.9955815636498392,0.9840977035112869,8.1
