,Li-Li,Li-Si,Li-S,Si-Si,Si-S,S-S,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,4.244429164008737e-07,0.0,0.0,0.0,0.0,4.244429164008737e-07,0.8
9,4.2716239497883465e-06,1.8798855812910666e-07,2.819828371936601e-06,0.0,9.399427906455333e-07,2.767715484755493e-06,0.9
10,2.922813095036077e-05,2.567288601518527e-06,3.0963677175651215e-05,1.006086912950219e-06,2.122050061551111e-05,1.573243052886409e-05,1.0
11,0.00014670384070776182,2.0089503610238913e-05,0.00021301002453835854,1.258031059023778e-05,0.00020914614451559261,7.555493591040458e-05,1.1
12,0.0006042266852087588,0.0001150416823708043,0.001104468815267757,0.00010571155145642007,0.0012895004458982524,0.00030194051161437413,1.2000000000000002
13,0.0020623655990976786,0.0005306976561946136,0.00461093580238478,0.0006553876073255859,0.006128679210418798,0.0010521952678555335,1.3
14,0.005953105172511494,0.0020283056779562,0.01595824661216865,0.003166154742721124,0.023618575787804234,0.0032882917393906594,1.4000000000000001
15,0.014778986334538344,0.006564856895476196,0.04644365610697112,0.012607572310202103,0.07477465028705477,0.009169165281205758,1.5
16,0.032138970316623744,0.018220682128470896,0.11498768237433457,0.042129098620834006,0.195856043925458,0.022336461756621025,1.6
17,0.06237901640958759,0.04381211217477859,0.2447696359103114,0.11863970896709068,0.42746010646168214,0.046640200284829424,1.7000000000000002
18,0.10985356633273936,0.0920829975186369,0.45274374290580505,0.28212562835209265,0.7842890514148702,0.0827470820284189,1.8
19,0.17782745697181437,0.17067316302683858,0.7358081984126861,0.5684081874058912,1.2231721072928647,0.12501429959215635,1.9000000000000001
20,0.2671403917526308,0.2817470748844188,1.0632008470569245,0.9760673488097494,1.643712661994302,0.16283713139765238,2.0
21,0.3751722463493593,0.41906713073176494,1.3831320695280067,1.4420340983510374,1.9342595423393603,0.18721354709853885,2.1
22,0.4955112257686446,0.5689267263067176,1.642227965714108,1.856762547992655,2.03068073728217,0.19739818586047256,2.2
23,0.6187037304609176,0.7143038646026729,1.8063560159216787,2.1172077976291876,1.9417266392009707,0.20184386568768545,2.3000000000000003
24,0.7344878829386463,0.8395680577646221,1.8694902610886635,2.1770401043630367,1.7291811041128806,0.21322642678141085,2.4000000000000004
25,0.8350742631903169,0.9341791105884079,1.8469941066760052,2.0585565847488763,1.468938039037248,0.24220087613353683,2.5
26,0.9172123038575674,0.9951492324653511,1.7627656012601665,1.8289182352436506,1.222050370586393,0.293959157647781,2.6
27,0.98100841008398,1.0271310166997716,1.641346901453423,1.5652987170174435,1.0243089816299478,0.3678891536431185,2.7
28,1.0269892519153834,1.039010698151805,1.505813717383915,1.3273662311850376,0.8880516286107534,0.4587619113960118,2.8000000000000003
29,1.055274257912234,1.0389751634563582,1.3757469938928506,1.1443074096708858,0.8089559725827639,0.5590253059011997,2.9000000000000004
30,1.0676380389463411,1.0318502378682883,1.2637224408744534,1.0173942729657164,0.7744089232246973,0.6620311530178324,3.0
31,1.0691546711451714,1.0200263322302012,1.1737787154847084,0.9331414902813422,0.7711514345766557,0.7637911134613362,3.1
32,1.066963079771165,1.005783406468547,1.1036810721101111,0.8775077951848871,0.789166419179957,0.861065197977141,3.2
33,1.0671387093848859,0.9921352856925112,1.0486768667081043,0.8432310636467497,0.8209223669030247,0.948286464182829,3.3000000000000003
34,1.0718636758460505,0.9815232749019003,1.0044742350075113,0.8286326101563904,0.8591452070234796,1.0181103990455613,3.4000000000000004
35,1.0784300058673393,0.9745989540983506,0.9689886704113715,0.8320866763682129,0.8966885144474297,1.065741498736285,3.5
36,1.0811666238543263,0.9708861234387908,0.9423611675357599,0.8484862044811702,0.9284222630351446,1.092252576319888,3.6
37,1.0758729293706746,0.9699777583534204,0.9251462124681296,0.8707648825511459,0.9524693798348428,1.1036284880252152,3.7
38,1.0634081746356212,0.9714710817279629,0.916619096402171,0.8934144137713305,0.9695943215226088,1.1068913988275684,3.8000000000000003
39,1.049147467194132,0.9742648234933597,0.9149934920615896,0.9135019551385235,0.98162845871382,1.106666169836646,3.9000000000000004
40,1.0390537689795096,0.976705046533447,0.9185945436922996,0.9292721773149119,0.9900172775843148,1.1043375165309226,4.0
41,1.0362162055998376,0.9776767142421688,0.926034230196706,0.9396616671386054,0.9952233066151259,1.0995003323078791,4.1000000000000005
42,1.0398407879475562,0.9776486899698416,0.9353830231963359,0.9454281939174604,0.9973757841239034,1.0916759730953955,4.2
43,1.0461870384356382,0.9784264567208996,0.9439359419820226,0.9493455411554536,0.99749452011683,1.080781239998556,4.3
44,1.0506950888142677,0.9814457974759786,0.949244277856311,0.9540075345460054,0.9976729191176402,1.0671067922631283,4.4
45,1.0505194195551708,0.986253926587802,0.9504733058232193,0.9593375644208575,0.9997761204094471,1.0519579781283532,4.5
46,1.0459681465396942,0.9907671630168406,0.9487733636131067,0.9627299592268427,1.0040450973774906,1.0379318013231051,4.6000000000000005
47,1.0396918569471856,0.9929407674428085,0.9463976421865202,0.9618209903616418,1.008957192072324,1.0274111875434402,4.7
48,1.0340716643393566,0.9923370153031255,0.9454924765087985,0.9568397862062498,1.0123390366078324,1.0205191636898865,4.800000000000001
49,1.0292362491795406,0.9904541129834386,0.9474087474840625,0.9501910227228307,1.012975529736797,1.0152091195732158,4.9
50,1.0237842244649837,0.9895176449743739,0.9524605376895494,0.9443121246518351,1.0115416035828688,1.0098393177030982,5.0
51,1.0170990158701247,0.9906923536480341,0.9598659566164979,0.940288068391156,1.0097804280820402,1.0053263993547714,5.1000000000000005
52,1.01017420875923,0.9933812595242492,0.9680707510506807,0.937993671945432,1.0086613005257132,1.0041200206595509,5.2
53,1.0040577376172406,0.9961281479490727,0.9754811337545041,0.9367706288155231,1.0077664186128703,1.0069767062886288,5.300000000000001
54,0.9982854677132454,0.9979606505397781,0.9812770796658449,0.9358396532123221,1.0064654525777348,1.0113418305024544,5.4
55,0.9913636314934078,0.9989237595735047,0.9858996768951526,0.9345869010463536,1.0051007772785097,1.0133275772523835,5.5
56,0.9825271922534419,0.9996318061609324,0.9905970101359652,0.9327872392969931,1.0049311807518886,1.0109880306871504,5.6000000000000005
57,0.9728349906359116,1.0006245206431952,0.9960590808164281,0.9305918720036558,1.007093571215006,1.0053834961889008,5.7
58,0.9648528306660208,1.0023731189279754,1.0016108654315754,0.928552565673857,1.011322857193192,0.9990035321731295,5.800000000000001
