,Li-Li,Li-Hf,Hf-Hf,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,1.501231864449702e-07,0.0,0.0,0.4
5,1.3626729880322088e-06,0.0,0.0,0.5
6,9.348748884097412e-06,0.0,0.0,0.6000000000000001
7,4.872818523660329e-05,0.0,0.0,0.7000000000000001
8,0.00020737225943700814,0.0,0.0,0.8
9,0.0007480291799565587,2.2440559357864048e-07,0.0,0.9
10,0.002319510080270654,1.8636367825032145e-06,0.0,1.0
11,0.006285774558725497,1.1478952766614523e-05,0.0,1.1
12,0.015074991506402022,5.6235509389300515e-05,0.0,1.2000000000000002
13,0.03241550682633183,0.00022588898995141518,7.843170557124973e-07,1.3
14,0.06322774765489349,0.0007737777465499054,1.0831477613112747e-05,1.4000000000000001
15,0.11296396780499461,0.002315495525209309,8.875305173659132e-05,1.5
16,0.1863136848890477,0.006171400103728806,0.0005077202481871064,1.6
17,0.28569571370754954,0.014817139216254036,0.0023233056623107448,1.7000000000000002
18,0.41033706763217026,0.03225520120512098,0.008773224480123635,1.8
19,0.556226968191979,0.06393212480155255,0.027789177741435432,1.9000000000000001
20,0.7164562042091981,0.11585246137091548,0.07476780355054553,2.0
21,0.8814161791789564,0.19275559129504763,0.172996697321308,2.1
22,1.0394037527219673,0.2958319967456902,0.3487902441420747,2.2
23,1.178455391237161,0.42107587150753356,0.6210274996545992,2.3000000000000003
24,1.2889878335058922,0.5593358451411901,0.9889879589599921,2.4000000000000004
25,1.365798969691016,0.6982228881769271,1.4249625567790178,2.5
26,1.4086445373923144,0.8250941727058547,1.87682525288656,2.6
27,1.4215212397819335,0.9298044390762699,2.2808395888889623,2.7
28,1.4108943493556791,1.0060516919269142,2.579623999957351,2.8000000000000003
29,1.3835147458204733,1.0513962993206298,2.7378971642537104,2.9000000000000004
30,1.3450744585196446,1.0671389592372758,2.7495547302393644,3.0
31,1.3002047896087228,1.058207811361633,2.634028824074031,3.1
32,1.252866199338063,1.0318337126726775,2.426445165797414,3.2
33,1.2062045990456278,0.9950209686561268,2.1680102761620628,3.3000000000000003
34,1.1620559752484407,0.9529427129001563,1.8982405336723887,3.4000000000000004
35,1.1210748745845125,0.9095135392063041,1.6480992071786327,3.5
36,1.0837144712542301,0.8686139940964969,1.4356222007049806,3.6
37,1.050882631963491,0.8338951653537241,1.2663035845582618,3.7
38,1.023680946603613,0.8074449198741895,1.1370480985740268,3.8000000000000003
39,1.0030080424677383,0.7893057505760851,1.0403201865252514,3.9000000000000004
40,0.9895079924933018,0.7786339155284283,0.9673038883652444,4.0
41,0.9833427538826308,0.7749471194478695,0.9112882609824123,4.1000000000000005
42,0.9837110670799772,0.7779462218972371,0.870462964809233,4.2
43,0.9887103444325385,0.7867193114749969,0.8471350943421747,4.3
44,0.9957813630864857,0.8000246393309779,0.8435631946373318,4.4
45,1.0025802076266832,0.8173814070436077,0.8587206734221926,4.5
46,1.0079365814951022,0.8392343212196854,0.8886431998651418,4.6000000000000005
47,1.0121337322152955,0.8657575608149624,0.9284959234032895,4.7
48,1.0160809644374127,0.8956893823675833,0.9736903355202575,4.800000000000001
49,1.0202147198711264,0.9264677894587048,1.0201190423027537,4.9
50,1.0242488828296814,0.9554194056816594,1.0646385168099817,5.0
51,1.0276306233752446,0.9808014248488445,1.105422187115598,5.1000000000000005
52,1.0298434329345,1.0019456919289735,1.141069813663181,5.2
53,1.0304113277926434,1.0188233786611303,1.168934203962591,5.300000000000001
54,1.0290081354591973,1.031739360719211,1.184780654618095,5.4
55,1.025691712632107,1.0411992655160878,1.1849748447115347,5.5
56,1.0209623569722874,1.0475429702194279,1.1694591223272275,5.6000000000000005
57,1.015531103512938,1.0505887968155836,1.142370896665354,5.7
58,1.009975817324081,1.0500140316249438,1.1094841016795125,5.800000000000001
59,1.0045867532064368,1.0463205926641381,1.0750824701282717,5.9
60,0.9994322779655692,1.0410969827008063,1.0411451985177154,6.0
61,0.994420931124448,1.0360131588072774,1.0087759493708746,6.1000000000000005
62,0.98934128514502,1.0318041822073536,0.9793645450259545,6.2
63,0.9840767882849927,1.0284332975632513,0.9539326453635455,6.300000000000001
64,0.9788525666708823,1.0258181151444399,0.9319702496848898,6.4
65,0.9741972850572845,1.0240002319214268,0.9117297645889315,6.5
66,0.9706406726917884,1.022863732322256,0.8918055329329105,6.6000000000000005
67,0.9683948862156092,1.0221969142110259,0.8722840751472696,6.7
68,0.9672354002300088,1.0219971583016398,0.8545952141596926,6.800000000000001
69,0.9666077845784652,1.022397722342336,0.8405840596692431,6.9
70,0.9658853577802191,1.0234400654463292,0.8316788870978857,7.0
71,0.9647947431032777,1.0252897302677328,0.8285089497664581,7.1000000000000005
72,0.9637595959025748,1.028506559647715,0.8309485878264262,7.2
73,0.9635780429422762,1.0336210812525977,0.8384432845095262,7.300000000000001
74,0.964555096474457,1.0403865715270157,0.8503523402006914,7.4
75,0.9661815396006789,1.0476763036807855,0.8658166473632859,7.5
76,0.9678295060757811,1.054196085974003,0.883039754638313,7.6000000000000005
77,0.9694388449046224,1.059358652643117,0.8989184878342695,7.7
78,0.9712582832407716,1.0635673757284292,0.9100962437850235,7.800000000000001
79,0.9731708655606899,1.067596668966466,0.9149557760798731,7.9
80,0.9745979586344947,1.07162773927407,0.9147033260454397,8.0
81,0.9750403685209362,1.0749476238475832,0.9123147978507663,8.1
82,0.9745309421370573,1.0765609149723063,0.910098931944275,8.200000000000001
83,0.973493513205735,1.0759967612152093,0.9081882647329086,8.3
84,0.9722849451872221,1.0736091488835349,0.9055092338457595,8.4
85,0.9710102122030887,1.0703220452630602,0.9018508861077538,8.5
86,0.969697302920931,1.06706206013756,0.8983817412010136,8.6
87,0.9684392407754453,1.0642117713051429,0.896246309330204,8.700000000000001
88,0.9673245626265232,1.0615260496685202,0.8952153375137623,8.8
89,0.9664119370903618,1.0585995228391107,0.8938041855497001,8.9
90,0.9657674223659427,1.0553186863988062,0.8904550588248373,9.0
91,0.9653519476633605,1.0518435246047821,0.8846452239645228,9.1
92,0.9649290795447787,1.0484061016969903,0.8772120621556193,9.200000000000001
93,0.9642943899190274,1.045287214448711,0.8698188946165434,9.3
94,0.9635568024998581,1.042798460783391,0.8640217991972587,9.4
95,0.9630602077663452,1.0410615335074807,0.8605789639943763,9.5
96,0.9631168727629194,1.0398433234138635,0.8592869425105724,9.600000000000001
97,0.9638913208053231,1.0387199465631336,0.8592708105308273,9.700000000000001
98,0.9653281184696453,1.0374328653860903,0.8595596498290444,9.8
99,0.9669945767508327,1.0361289827956661,0.8596408833116288,9.9
100,0.9681372525246663,1.0352729146073028,0.8595655482389608,10.0
