,Li-Li,Li-Mg,Li-Si,Mg-Mg,Mg-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,2.1172469854482484e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,2.487232886911508e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,1.7307324304697367e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,9.163977596424844e-05,1.4359183707538296e-07,2.8718367415076593e-07,0.0,0.0,0.0,0.9
10,0.00039248426966325155,2.7294616214374437e-06,5.587003616068672e-06,0.0,0.0,0.0,1.0
11,0.001404408488451675,2.1965498885166174e-05,4.430637462909491e-05,0.0,1.1495302192461406e-06,6.897181315476845e-06,1.1
12,0.004275599151149773,0.00012692783652380814,0.0002571736630854827,0.0,1.5173016202292853e-05,8.14935478033565e-05,1.2000000000000002
13,0.011283978147968209,0.0005804517044834316,0.001185956389019422,1.8819973203984436e-06,0.0001069484114053697,0.0005568682202971596,1.3
14,0.026240684358947095,0.0021795434752946963,0.004497492473108275,1.913134442775771e-05,0.0005732972971355308,0.00283891918066483,1.4000000000000001
15,0.05456408161174533,0.0068568591740013575,0.014335870351695536,0.00012054341277008848,0.002476397458042553,0.011593992808059414,1.5
16,0.10264513297308464,0.018324788900808672,0.03899026391643212,0.0005947624192693974,0.008870965366876423,0.038848991030042634,1.6
17,0.1762706198926693,0.04223282463827267,0.09156671756664338,0.0023654350701513387,0.026873686391192756,0.10795245966647532,1.7000000000000002
18,0.27832708393428374,0.08528588871164863,0.18769835390582446,0.007808512687670671,0.06994751241224403,0.250995691764544,1.8
19,0.4067074199541947,0.153507845347412,0.3392457207728446,0.021786437240142467,0.15845061846251984,0.4926817157176391,1.9000000000000001
20,0.5535129419054957,0.2505181913289164,0.5463631804536658,0.05225269530888277,0.3154482507828449,0.8246302491781193,2.0
21,0.7060462284604208,0.3763793563735041,0.7930764859467562,0.10927257370329048,0.5557560503668367,1.1905152016685296,2.1
22,0.8496403110444171,0.5266657126990328,1.0496077976122369,0.20165500549726587,0.871327464001794,1.5025787141424836,2.2
23,0.9718090430766334,0.691739718719195,1.2801600952833434,0.331854285681209,1.2231281942113634,1.6837651349595981,2.3000000000000003
24,1.0658248245692088,0.8575046876288458,1.4533686044368699,0.4923103861409003,1.5499607898145695,1.7038904599550393,2.4000000000000004
25,1.1312321407833965,1.008684147479818,1.5525636056464374,0.6666052131401652,1.7927339899823016,1.5852377832068913,2.5
26,1.171379521029714,1.1334092514276755,1.5806105854383476,0.835196886227976,1.9185300789320798,1.3823681103556111,2.6
27,1.1908118713283178,1.2259194849653403,1.5550605584100914,0.9815026788357527,1.9287072637407081,1.1561238018783886,2.7
28,1.1940629654580421,1.2851908723493106,1.4968461551365677,1.0951770707139443,1.8494959159388866,0.9541551296674252,2.8000000000000003
29,1.184940032158717,1.3115565951792219,1.4210893716848754,1.1729530167028397,1.7156437840172984,0.8011461045272381,2.9000000000000004
30,1.1661052119142576,1.306013949454274,1.3356322420110642,1.2179056996205828,1.5576833585905772,0.6997995211056093,3.0
31,1.1397711609161698,1.2730981973674866,1.2455181169816072,1.2364846832150915,1.3969366839586026,0.6397794386872669,3.1
32,1.1088121603388341,1.2224754366863306,1.157036034583629,1.2341629612212044,1.2469944721850441,0.6076251951944904,3.2
33,1.0767225110756902,1.1657410464126332,1.0774746352686,1.2134188270777095,1.1169568707800122,0.5931249763950315,3.3000000000000003
34,1.0464234402152768,1.111451072646702,1.0124395271804913,1.1762039039021168,1.0122055798269385,0.5917204976480719,3.4000000000000004
35,1.019622984547273,1.06336125876872,0.9640548135486825,1.1277323932558188,0.9333547313213564,0.6029997735375882,3.5
36,0.997422729401967,1.0222401457943096,0.9310912253496629,1.0767593774628021,0.8769508204364594,0.6267320671315632,3.6
37,0.9807284302137138,0.9881906081963386,0.9103111996782091,1.0317035912221406,0.8385683539219135,0.660069521021689,3.7
38,0.9694044745985022,0.9615384703291868,0.8982276549519489,0.9968327402855487,0.8155500214815571,0.6982420329460748,3.8000000000000003
39,0.9616465260568561,0.9425590239511025,0.8924415972542674,0.9723391454317974,0.8073154140237121,0.7371176754546551,3.9000000000000004
40,0.9552421499074983,0.930968674861694,0.8918975520996082,0.9573895120416576,0.813642553509979,0.7750257207826713,4.0
41,0.9495236454775476,0.9257432709176662,0.896244052649551,0.9520845009418358,0.8324225905239341,0.8126989461298924,4.1000000000000005
42,0.9457262601738897,0.9253839694972674,0.9052692032307468,0.9566288085700952,0.858665201235153,0.8515142959508346,4.2
43,0.9456878531651354,0.92855987458053,0.9188428119057198,0.9695520993340626,0.8859315042274961,0.8915771932719168,4.3
44,0.9504658006313509,0.9348289941022645,0.9366263642400133,0.9871912221262503,0.9093767710081093,0.9315413161214579,4.4
45,0.9596670916975398,0.9447041124060562,0.9572507636686486,1.004691369546532,0.9278342274602588,0.969740151087707,4.5
46,0.9714222625001102,0.9586693019782201,0.9780800858290261,1.0177687976788354,0.9431280310510778,1.0043759263811043,4.6000000000000005
47,0.9830668943056843,0.975925529136881,0.9963672446492403,1.0243264081286525,0.9574083739356148,1.0328095255002283,4.7
