,Si-Si,Si-Ag,Ag-Ag,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,3.322298429267084e-07,0.0,0.0,1.0
11,5.29728585236851e-06,2.2363393859055432e-07,0.0,1.1
12,5.590647360283525e-05,3.880232017651723e-06,0.0,1.2000000000000002
13,0.0003740039899067835,3.711184523860849e-05,0.0,1.3
14,0.0019017281744450624,0.00023724829266923917,3.0024242416558305e-06,1.4000000000000001
15,0.007854730001776744,0.0011781564597903285,2.781932400135704e-05,1.5
16,0.026876152490524788,0.004786578764811179,0.00018287889479520774,1.6
17,0.07677845212560942,0.016228470526003038,0.0009226817988027341,1.7000000000000002
18,0.18423515969638848,0.04641272524607079,0.003787158136078405,1.8
19,0.37401403813942663,0.1129523628187644,0.012993209681591743,1.9000000000000001
20,0.648152109030717,0.23596264444671447,0.03793321719881515,2.0
21,0.9694058203958392,0.42711380632351725,0.09527953805636255,2.1
22,1.268034854356699,0.6766596282654791,0.2073815620082834,2.2
23,1.4738887095301048,0.9487311836847289,0.3932351340550714,2.3000000000000003
24,1.5514471298550059,1.192241026461838,0.6531914830152968,2.4000000000000004
25,1.512188656839869,1.3627434278726853,0.9574701981590444,2.5
26,1.3998201764097504,1.4404324788199807,1.2512000034190636,2.6
27,1.2643009360344242,1.4328790227984152,1.4769839242317568,2.7
28,1.1420580359510182,1.3648458732096103,1.5998966448216472,2.8000000000000003
29,1.049424222461754,1.26593871754863,1.6182206887162234,2.9000000000000004
30,0.9870214665627328,1.1627012283589655,1.5568239010633118,3.0
31,0.9483028679132935,1.0742915915210285,1.451533039751557,3.1
32,0.9260031466995868,1.009956059262364,1.3339610763481742,3.2
33,0.9146946385839729,0.9695803951480173,1.222798738465505,3.3000000000000003
34,0.9110659216353307,0.9478246408117283,1.1236421022245402,3.4000000000000004
35,0.9131732305213439,0.9387172452028785,1.034854451482264,3.5
36,0.9190818142486059,0.9378810517338136,0.9544683393466513,3.6
37,0.9261687743885181,0.9428434856752033,0.8840984871260242,3.7
38,0.9320389930123641,0.9526329522203515,0.8283863563073885,3.8000000000000003
39,0.935847321628123,0.9669121079405163,0.7914354106425422,3.9000000000000004
40,0.9384358123217682,0.9849315865334877,0.7738955819873503,4.0
41,0.9415228978457466,1.0048698176029913,0.7732724330264759,4.1000000000000005
42,0.9467936070163995,1.0239028171813425,0.7860976759186131,4.2
43,0.954970514939774,1.0392233571086862,0.8085463339898964,4.3
44,0.9651536462852448,1.0494738115600069,0.8354000967333242,4.4
45,0.9752598241500435,1.055185371926306,0.8609377331942137,4.5
46,0.9833846755018691,1.0577307179106623,0.882364253087411,4.6000000000000005
47,0.9887769235741245,1.0580147366640613,0.9008738142795842,4.7
48,0.9917395322964733,1.0562382256263767,0.9178496212242016,4.800000000000001
49,0.9929624833810128,1.0527153208008302,0.9313610487016731,4.9
50,0.9929816541224219,1.048463953721627,0.9381632302206199,5.0
51,0.9920588831449684,1.0446177651033794,0.9383983640510077,5.1000000000000005
52,0.9904876698003688,1.041472667846643,0.936700938227973,5.2
53,0.9889395147803746,1.0384892897155762,0.9387467699570117,5.300000000000001
54,0.9883195404450942,1.0349584202567603,0.9476451388387453,5.4
55,0.9892305791336717,1.0303097800030478,0.9631952308258298,5.5
56,0.9916744157758162,1.0241512509059325,0.9829717527772697,5.6000000000000005
57,0.9951410867932516,1.0165310648022223,1.0035602490968811,5.7
58,0.9988098282043293,1.0080696904246447,1.021627005704977,5.800000000000001
59,1.0018106011336603,0.9996407583104557,1.034993947950955,5.9
60,1.0035357657896251,0.9919911611318863,1.0435618923319259,6.0
61,1.003812307101858,0.9856772711759944,1.0492172520793623,6.1000000000000005
62,1.0028772896151492,0.9812254215983343,1.0537875266667598,6.2
63,1.0012680211743856,0.9791396716355047,1.0562739868501523,6.300000000000001
64,0.9996572119749237,0.979504057510844,1.0528395520112843,6.4
65,0.9986892033403254,0.9816661029742498,1.0405897598187188,6.5
66,0.9988750764669794,0.9846173704512398,1.021308369902584,6.6000000000000005
67,1.0004371330525814,0.987514027662376,1.0009924732597832,6.7
68,1.003085350992542,0.9895543322285353,0.9856277609871035,6.800000000000001
69,1.0059832402629063,0.9898767154927787,0.9774224496745602,6.9
70,1.0080734704005354,0.9883222938339785,0.9749687240954301,7.0
71,1.008609964493335,0.9861553668398568,0.9764758567192549,7.1000000000000005
72,1.0075894823204563,0.9854143311900521,0.9818457626944038,7.2
73,1.0057745299741068,0.9873631819863293,0.9913333424017069,7.300000000000001
74,1.0042348111389743,0.9915876675419949,1.0033055387769911,7.4
75,1.0037030630089887,0.9964082272813821,1.014321037788136,7.5
76,1.0041322943851199,1.0000775356732396,1.0211350706093976,7.6000000000000005
77,1.004721371326071,1.0018082096488878,1.0224798179479906,7.7
78,1.0045268141765535,1.0019666840990615,1.019673119172184,7.800000000000001
79,1.003286897010569,1.001526834584495,1.0155750644121315,7.9
80,1.001544365887914,1.001369165973839,1.0118682128690235,8.0
81,0.9998587856278776,1.0019417768626264,1.0070004842949145,8.1
82,0.9981592548503795,1.003363929224798,0.9975569761483948,8.200000000000001
83,0.9960595621896875,1.0056294230828382,0.9821520983153982,8.3
84,0.9935286534828818,1.008518391066113,0.9638914096760502,8.4
