,Li-Li,Li-Ga,Li-Si,Ga-Ga,Ga-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,2.3338089173875907e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,1.5218345811697924e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,8.429693632075654e-06,0.0,1.752949809060013e-07,0.0,0.0,0.0,0.7000000000000001
8,3.60635392497002e-05,0.0,1.1430668631897554e-06,0.0,0.0,0.0,0.8
9,0.00013077002119732923,4.094259934655738e-07,6.350873843413338e-06,0.0,0.0,0.0,0.9
10,0.00040646896350023494,5.347910610392154e-06,2.9318685871141606e-05,4.869305025166702e-07,2.434652512583351e-07,0.0,1.0
11,0.0011572613001668093,3.899752717859445e-05,0.00011721492602653955,4.486256225393466e-06,5.3022925994219605e-06,5.244281977243251e-06,1.1
12,0.003137671319367702,0.00021522318849794483,0.00042536263126721475,2.9407141695177335e-05,4.8456308871209023e-05,6.890542040899858e-05,1.2000000000000002
13,0.008123131282459924,0.0009614432260316657,0.0014567456665517454,0.00016417018222097577,0.0003107915589452147,0.0005015935467404879,1.3
14,0.019585632106006744,0.0035814377584650935,0.004695178298262648,0.0007613562591595542,0.0015458302376767888,0.002651312267589576,1.4000000000000001
15,0.04294448768383127,0.011349260458213028,0.013900416031233945,0.003008817870894175,0.006274078790153341,0.011176542573867621,1.5
16,0.08487041231554808,0.031089512710017336,0.036844806969214355,0.01037891307370455,0.021274461952650876,0.03858761100753063,1.6
17,0.15164604777198892,0.07441615259401567,0.08626034449431912,0.03129346744656733,0.06090925526694447,0.11020454559817305,1.7000000000000002
18,0.24687936898121277,0.15674632546459263,0.1777936290201811,0.08185371954431091,0.14815915130916157,0.2622129503017709,1.8
19,0.3689705901865355,0.2919176169615905,0.3236060835580834,0.18444489479550638,0.3078394698869741,0.5236821560710647,1.9000000000000001
20,0.5094760194114422,0.48284407901862086,0.523746420108374,0.3574641696406639,0.5497033910583071,0.8858527109284098,2.0
21,0.6543960175584795,0.7139106403818487,0.7612049014858202,0.5986857087563148,0.8506761280408757,1.2838246815807701,2.1
22,0.78907909886425,0.9526483645656167,1.0055507750491657,0.8757579745103538,1.1544948266302397,1.6176387132189494,2.2
23,0.9037764725833775,1.1617284154993368,1.2235829137640601,1.1360518746744241,1.3965517663161098,1.8048367441503206,2.3000000000000003
24,0.9952309098135571,1.3133311827019944,1.3900164792272576,1.3306417916581401,1.5361681778143976,1.8217139154460231,2.4000000000000004
25,1.063508053221421,1.3971461048622569,1.4925249080831973,1.433971085767735,1.5694015676998068,1.702715888673586,2.5
26,1.1085392575124147,1.4196490822078986,1.5310481022545104,1.4479695666424313,1.51762238354611,1.5103256342614984,2.6
27,1.130176272948925,1.397507767117437,1.5147169991029306,1.3939831774911573,1.410842099519075,1.305154725522565,2.7
28,1.1304441189257222,1.349527174327136,1.4585413237776053,1.3005097617693067,1.2797018982238961,1.1288144953777444,2.8000000000000003
29,1.1146527047298989,1.291009006128356,1.3796395737819394,1.1924239089677193,1.1513150749063839,0.9975567838371914,2.9000000000000004
30,1.0899362556228458,1.2319176487206867,1.293241856092089,1.0858691897606276,1.0428319985579495,0.9062934118661583,3.0
31,1.062319586226232,1.177556405227617,1.2102675455564547,0.9897075549008394,0.958266228203284,0.8415051386257432,3.1
32,1.034804043402829,1.1298437224380906,1.1371737703557343,0.9092224204497039,0.8939435254920594,0.7932502831201713,3.2
33,1.0081459063326181,1.0884856039282977,1.0767307791361471,0.8473538881944942,0.8465193495452975,0.7576493765823501,3.3000000000000003
34,0.983215994904423,1.05238239386072,1.0288298866177537,0.8037177364693017,0.8150588628086378,0.7334021175400368,3.4000000000000004
35,0.9620746079343504,1.021162507551411,0.9917909651706575,0.774845081288793,0.7983038563009278,0.7203414238071026,3.5
36,0.946591475776949,0.9958709154691413,0.9640338218027789,0.7567830948381159,0.793728479232528,0.7196755572147202,3.6
37,0.9368375374411946,0.9780743968219263,0.9449696022302573,0.747288482999556,0.7995306841639684,0.7317016528619286,3.7
38,0.9317001917982318,0.9681724476154285,0.9344825780994778,0.745424745424629,0.8153214689544104,0.7532373119388306,3.8000000000000003
39,0.9308446880912595,0.9647730995309451,0.9318000532551383,0.7505908497875806,0.8401946625961554,0.7790983623511298,3.9000000000000004
40,0.9352669408102181,0.965689079314943,0.9351762737435216,0.763497844111563,0.871147812123343,0.805844595546785,4.0
41,0.9456732993756097,0.9692667589775666,0.9427515746766482,0.7869421275414197,0.9037591555788955,0.8331348142061502,4.1000000000000005
42,0.9606251720600626,0.9747660326231232,0.9533585991378889,0.8230743349620204,0.9339158411438934,0.8622960513184332,4.2
43,0.9764619902819316,0.9817465111201118,0.9662478810203686,0.8691978027575781,0.9591415002480091,0.8944954683408575,4.3
44,0.9892107845089503,0.989164006824906,0.9804131141405181,0.9175247209340684,0.9791565109644047,0.9293367317632233,4.4
45,0.9970387674036597,0.9954349628185688,0.9945264955163712,0.9601449021666906,0.9954436347719905,0.9638992589536388,4.5
46,1.0011599408855079,0.999844654545461,1.007359724999335,0.9939196114630265,1.0099134744264355,0.9936416086673792,4.6000000000000005
47,1.0042643821819173,1.0033944100691214,1.0180857491553679,1.0196543458691933,1.023481945885571,1.0150432878250284,4.7
48,1.0079320442198207,1.0074046162240908,1.0262568085054482,1.0373598107779682,1.0353875825531622,1.0267576425079825,4.800000000000001
49,1.0115558011572863,1.0116640548720777,1.0314763249030208,1.0447933054413485,1.0436243954213829,1.0282259163300487,4.9
50,1.0134715261222678,1.0147859649361648,1.0331925365661487,1.0411861439901384,1.046392870232351,1.0192714279703443,5.0
51,1.0126799074139254,1.016080647662183,1.0312518846400622,1.0301586792669635,1.043608116094015,1.0022453660869668,5.1000000000000005
52,1.0095454583526366,1.0163794818343361,1.0267297506051556,1.0174672248813939,1.0371590967294397,0.9829486384562965,5.2
53,1.0053615810917553,1.0170684884634358,1.021570500370389,1.006634292624717,1.029806400806406,0.9677274191174797,5.300000000000001
54,1.0015494628068458,1.0185909507803248,1.017072093698148,0.9974995591614837,1.0236732462688687,0.9596432601257595,5.4
55,0.999054186063895,1.0199617025376524,1.0130945182043243,0.9883191651026808,1.0189817754010522,0.9575565323954015,5.5
56,0.9980020883203781,1.0198459108828961,1.0089486072951024,0.9782256628420254,1.0136746010222821,0.95826429422588,5.6000000000000005
57,0.9976194379701784,1.0179936449866018,1.0045336935829967,0.9676785127099599,1.0049583615804585,0.959057177715155,5.7
58,0.9966880751047554,1.0152559108566752,1.0002801596150972,0.9575292171832309,0.9921844827832594,0.9586796944952757,5.800000000000001
