,Si-Si,Si-O,O-O,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,4.856944080154678e-07,0.0,0.5
6,0.0,1.3113329107792462e-05,0.0,0.6000000000000001
7,0.0,0.00014441840642722006,0.0,0.7000000000000001
8,0.0,0.0009504725813823421,0.0,0.8
9,0.0,0.00470798684559059,0.0,0.9
10,4.6445776980491484e-07,0.018809220500275878,3.800109025676576e-07,1.0
11,5.567665319207307e-06,0.06161322251296714,8.617105860157688e-06,1.1
12,4.896930916954314e-05,0.1664801741318813,6.185061162598033e-05,1.2000000000000002
13,0.00029652077105210854,0.3729340835941834,0.00033199226966172305,1.3
14,0.0014176672365900954,0.6968098722206552,0.0014245781728867107,1.4000000000000001
15,0.0055909727857630384,1.0944113259749266,0.004995419722289416,1.5
16,0.018475642259791054,1.459748791109385,0.014605365958000783,1.6
17,0.051544546520569424,1.676612417177418,0.03646662435742836,1.7000000000000002
18,0.12225505280971802,1.6902333836806966,0.07961759679370446,1.8
19,0.24859851541076114,1.5352418635448821,0.15517873314089814,1.9000000000000001
20,0.4378556999779257,1.3000629235374783,0.2734967036453497,2.0
21,0.6759168097395434,1.0689101617058,0.4383206829118275,2.1
22,0.9265225021330066,0.8892313735411863,0.6407161631663576,2.2
23,1.143960767839646,0.7734017947166457,0.8587337349718542,2.3000000000000003
24,1.2923686206212865,0.7148253328378834,1.0647338703711977,2.4000000000000004
25,1.359418923884806,0.7009599473382937,1.2346759917380308,2.5
26,1.3567182240200448,0.7191000111667276,1.3531037918520974,2.6
27,1.3092529685118648,0.7579317567211443,1.4137546921625783,2.7
28,1.2426627422476904,0.8080620581222805,1.4189985562214762,2.8000000000000003
29,1.1754518673995735,0.8623667371014825,1.3787369814132073,2.9000000000000004
30,1.1173274866089868,0.9157549266583247,1.3073248436632974,3.0
31,1.0710426421040564,0.964504793257901,1.219582963306806,3.1
32,1.0352791046897936,1.005865666555286,1.1285891779042525,3.2
33,1.0074116074630182,1.0381533431127237,1.0451262120857538,3.3000000000000003
34,0.9854875513986702,1.0608680659146705,0.9770113272713333,3.4000000000000004
35,0.9689065826629188,1.0743191282124527,0.9284243885047591,3.5
36,0.957867939037843,1.0790280698241421,0.8999123052414009,3.6
37,0.9523417514972007,1.0758666115936206,0.8889181485285561,3.7
38,0.9514839087296996,1.0667575538067315,0.8906812998062199,3.8000000000000003
39,0.9538701693121898,1.0544332685687052,0.8998788626120041,3.9000000000000004
40,0.958237361831706,1.0410830717423647,0.9124479212159531,4.0
41,0.9639567488158686,1.0276662041849252,0.926580609393063,4.1000000000000005
42,0.9707976532710456,1.0145959154831932,0.9424876872854738,4.2
43,0.978424160655705,1.002508330384597,0.9611334775358736,4.3
44,0.9862464848625794,0.9922491042082917,0.9822312855997399,4.4
45,0.9935464105826275,0.9846365717318042,1.0026697559116375,4.5
46,0.9996123933818869,0.9803132113230788,1.0174778810734675,4.6000000000000005
47,1.0039455539226176,0.9793248066828331,1.0234010797134359,4.7
48,1.0064419504272002,0.980739819919936,1.0213396999428743,4.800000000000001
49,1.0072694489946095,0.9832060084406612,1.0146622361022495,4.9
50,1.0066649208127316,0.986063502066886,1.0058130289537635,5.0
51,1.0049773227185377,0.9896230499657002,0.9954897004086046,5.1000000000000005
52,1.0027295587905678,0.9942562558928161,0.984336968564161,5.2
53,1.0004355083069816,0.9994932869507085,0.9737436725340834,5.300000000000001
54,0.9983806840775667,1.0041984600953062,0.9647354785428521,5.4
55,0.9966400513206549,1.0075062625783353,0.9571975502859261,5.5
56,0.9952592915148125,1.0093523985782562,0.9505748651134349,5.6000000000000005
57,0.9943706386121334,1.010128126052367,0.9447866476455479,5.7
58,0.9941631270543868,1.0101368019788135,0.9401680761123186,5.800000000000001
59,0.9947546350838383,1.0095466943492157,0.9369625096285187,5.9
60,0.9959983792239802,1.0086838086211243,0.9352366058532298,6.0
61,0.9973578931637348,1.0080796323454935,0.9349988954630647,6.1000000000000005
62,0.9981657808665702,1.0081348793355382,0.936010910220338,6.2
63,0.9981756521327771,1.0088335050709354,0.9376320419834203,6.300000000000001
64,0.9977909762685582,1.009860538251478,0.939041416071839,6.4
65,0.9976182479835023,1.0109394624394463,0.9397170553605941,6.5
66,0.9978038141164446,1.0119783470945005,0.9400075499341621,6.6000000000000005
67,0.9979348845214514,1.0129415486337296,0.9412513434612755,6.7
68,0.9976418604248436,1.0136981150546815,0.9447110238016679,6.800000000000001
69,0.997089695310454,1.0140922443193567,0.9501102355064833,6.9
70,0.9967516759767389,1.0141057764244676,0.955713474933487,7.0
71,0.9969337337347992,1.0137786447798096,0.9600628131174842,7.1000000000000005
72,0.9976895486131665,1.0129559922050162,0.9631773593524979,7.2
73,0.9989300424218878,1.0113750040726934,0.9660053576048427,7.300000000000001
74,1.0003492873336426,1.0090767323528527,0.9692714640606921,7.4
75,1.0014381077584396,1.0065252217065814,0.9729021593635272,7.5
76,1.0018430478480547,1.0042536882788033,0.976060417880099,7.6000000000000005
77,1.001624802800823,1.002498628363108,0.9777586131855991,7.7
78,1.0010386218416043,1.0011646891779356,0.977709508574637,7.800000000000001
79,1.0001956156258986,1.0000409771787646,0.976523462890992,7.9
80,0.9990558692650596,0.9990411020281825,0.9751174907195491,8.0
81,0.99760241983435,0.998320637355638,0.9741459540670836,8.1
82,0.9958968955428908,0.9982339377178371,0.9737614569435386,8.200000000000001
