,Si-Si,Si-Pd,Pd-Pd,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,2.581194265725934e-07,3.0974331188711207e-07,0.0,1.0
11,3.907124231766966e-06,8.344206570159788e-06,0.0,1.1
12,3.906515250430172e-05,7.953492098102472e-05,0.0,1.2000000000000002
13,0.00026274872878751036,0.0005082114627792026,3.4134977228375624e-07,1.3
14,0.0013497991471082005,0.002509951401904442,3.469973093540119e-06,1.4000000000000001
15,0.005640709587879365,0.01006941804789153,2.1692982736034227e-05,1.5
16,0.019626103652006725,0.03358233409282099,0.00011172803812149074,1.6
17,0.057267849336443306,0.0941115479555367,0.00047989323672734536,1.7000000000000002
18,0.1408255849631059,0.2233419077164728,0.0017555870050173475,1.8
19,0.29347016396135056,0.4519805983459874,0.005662607076984343,1.9000000000000001
20,0.5221370110550161,0.7856247462489429,0.016335484084096498,2.0
21,0.8009889332117306,1.1826991111972085,0.042207900694963246,2.1
22,1.0731318281607687,1.5581715317327183,0.0970073642799185,2.2
23,1.2762556387071142,1.8205338940357338,0.19702424638136568,2.3000000000000003
24,1.3747683259597558,1.9180081510719595,0.3529484637982274,2.4000000000000004
25,1.37366325472305,1.8591961162818909,0.5593662760531772,2.5
26,1.3069591672913796,1.6971981882326912,0.7893931001864656,2.6
27,1.2147587192255156,1.4960176359604083,1.0011129954512599,2.7
28,1.1262359200582326,1.3043229582709164,1.1551205438553778,2.8000000000000003
29,1.0547534754902816,1.147178053064823,1.2324610951428476,2.9000000000000004
30,1.001696062934505,1.0310385836551483,1.2395740515121811,3.0
31,0.9632840048933173,0.9523710263584272,1.1980351123858497,3.1
32,0.935919149953622,0.9037872524792834,1.1307671464955735,3.2
33,0.9180926420302012,0.8770107136203179,1.0555996351302903,3.3000000000000003
34,0.9096536080828795,0.8646628689283643,0.9856779500463566,3.4000000000000004
35,0.9102378438039741,0.8617796370366032,0.9311028832613526,3.5
36,0.9181419873402339,0.8661591942205671,0.8990515351772111,3.6
37,0.9302530445891415,0.876892058980025,0.891875341424768,3.7
38,0.9430103080529092,0.8924718750359997,0.9046616220272679,3.8000000000000003
39,0.9537909620606325,0.9105154249005334,0.9266923703031918,3.9000000000000004
40,0.9619362375212211,0.9289893859931149,0.9479576163003883,4.0
41,0.9687733708330882,0.9470857738933932,0.9646708087676358,4.1000000000000005
42,0.9763338280571447,0.9647812133234996,0.9784279678453757,4.2
43,0.9855176321038821,0.9817913916096153,0.9917583479328033,4.3
44,0.9953271106344822,0.9970278378730391,1.005160931710687,4.4
45,1.0038859785776213,1.0089541006267857,1.016582438385098,4.5
46,1.0099381023600085,1.0164912201649132,1.022605338237003,4.6000000000000005
47,1.0132804942922906,1.0197136673715959,1.0212055915869636,4.7
48,1.0141526283509024,1.0197351649628308,1.0139483400695308,4.800000000000001
49,1.0126962313885763,1.0180868823470184,1.004586482953085,4.9
50,1.0092181311549364,1.0162847136031998,0.9952361131499908,5.0
51,1.0047724733935415,1.0154715753831984,0.984964173954624,5.1000000000000005
52,1.0010422596027444,1.0158563957731137,0.9724582456835493,5.2
53,0.9994001656006442,1.01648628876985,0.9590006942039975,5.300000000000001
54,1.0000947141522938,1.0158814645361627,0.9482875444224517,5.4
55,1.002294941188607,1.0130085046465793,0.9440858119581857,5.5
56,1.0047492391795778,1.0077584585102584,0.9479726792248481,5.6000000000000005
57,1.0064432560628218,1.0009767868368307,0.9580436887990126,5.7
58,1.0069222332020762,0.994309726100384,0.9695268444163929,5.800000000000001
59,1.0063224701887508,0.9896189310233067,0.977842599951268,5.9
60,1.0052381952944682,0.9880480601119258,0.9816887095474794,6.0
61,1.0043803162811435,0.9895407571101058,0.9831788305553846,6.1000000000000005
62,1.004094004345723,0.9931816116401793,0.9854467453522935,6.2
63,1.004171400179741,0.9978630857101082,0.9901651756488143,6.300000000000001
64,1.0041564683614885,1.0027152146768938,0.9964208185995318,6.4
65,1.0037674329141224,1.007116006985467,1.001392643726859,6.5
66,1.0030344895570653,1.0104285007809464,1.0024870303098061,6.6000000000000005
67,1.002171938218582,1.0118958296556548,0.999165381932172,6.7
68,1.0013591832584894,1.0110278908255959,0.9929831783758666,6.800000000000001
69,1.0005557565007936,1.0081590965007214,0.9863903567735516,6.9
70,0.9994898316419261,1.0045027244057378,0.9817018801998613,7.0
71,0.9979759788367216,1.001452001945081,0.980780025508162,7.1000000000000005
72,0.9963450591760162,0.999673566908174,0.9847284520021302,7.2
73,0.9953580892872487,0.9988218035946538,0.9929902331184448,7.300000000000001
74,0.9954714697912023,0.9981505554634744,1.0026623264066845,7.4
75,0.9963077759756352,0.9974478800344327,1.0095111979977751,7.5
76,0.9970453644456312,0.9972672103248115,1.0105664249117747,7.6000000000000005
77,0.9971782420541075,0.998155517113411,1.0061833990103037,7.7
78,0.9967209924194117,0.9998145864300685,0.9994343796526113,7.800000000000001
79,0.9959458154018257,1.0011695730410863,0.9933059062894818,7.9
80,0.9952517424997005,1.0011881930605047,0.9885471086150983,8.0
81,0.9951129533838172,0.9996816157168247,0.984077737347686,8.1
82,0.9957939953569109,0.9975293498613322,0.9788752570442028,8.200000000000001
83,0.9970859721846804,0.9961694480178603,0.9732446420908936,8.3
84,0.9984068739751646,0.9966963399551184,0.9688101844764312,8.4
85,0.9991251379044728,0.9991679815813158,0.9675679687507642,8.5
86,0.9988471319270698,1.0025632450479598,0.9704442961477774,8.6
87,0.9976194601628514,1.0054059186716329,0.9762013324383483,8.700000000000001
88,0.9959245793639894,1.006675171129672,0.9819578401155373,8.8
89,0.9943480756565198,1.0063543269049144,0.9854444920371237,8.9
90,0.9932072268431777,1.0052054052889503,0.9869112710635712,9.0
91,0.9925777050339493,1.0040998725203698,0.9883064070449159,9.1
92,0.9925780172145569,1.0035463057049987,0.9903853154175913,9.200000000000001
93,0.9933804478972437,1.0035873465410865,0.9913393503120435,9.3
94,0.9948862948846168,1.003868224987436,0.9888371122177848,9.4
95,0.9965526752643719,1.0038674051988212,0.9829340590105236,9.5
96,0.997633935013323,1.0032563321616572,0.9763406998434788,9.600000000000001
97,0.9976139586786702,1.0021363159132883,0.9720234517722768,9.700000000000001
98,0.9965204405694126,1.0009497833514314,0.9709007508696921,9.8
99,0.9949660829106988,1.0001190712701906,0.9717417579862001,9.9
100,0.9938550900981651,0.9997542400562814,0.9727152478264368,10.0
