,Li-Li,Li-Si,Li-F,Si-Si,Si-F,F-F,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,2.2385174556160976e-06,0.0,0.0,0.0,0.5
6,0.0,0.0,3.660068033388627e-05,0.0,2.7022103571365742e-06,0.0,0.6000000000000001
7,0.0,0.0,0.00029293736404277927,0.0,4.3513805097243316e-05,0.0,0.7000000000000001
8,0.0,0.0,0.001628892805087389,0.0,0.0003208393868904346,0.0,0.8
9,1.5708350865015382e-06,5.236116955005127e-07,0.00721400133973493,0.0,0.0017063109397336934,5.236116955005127e-07,0.9
10,1.2578374985457728e-05,4.581998914904757e-06,0.026118205702312203,4.670487037026179e-07,0.007208093354801605,6.21666937786392e-06,1.0
11,7.56302033478652e-05,2.9878846730723494e-05,0.07835131691979114,8.075693469018286e-06,0.02478267941203971,4.1900570340469265e-05,1.1
12,0.00035249337531174447,0.00015317158744699699,0.196882345132983,8.392291472678795e-05,0.07002975432234171,0.0002186469784315959,1.2000000000000002
13,0.0013401763447190049,0.0006445946287328524,0.41909385161725277,0.0005610479920852495,0.1639611845834253,0.0009193285499980665,1.3
14,0.004258173598678868,0.002301887231205151,0.7649685447086967,0.002833703479457234,0.32092926223804186,0.003222790042115061,1.4000000000000001
15,0.011572821410100846,0.007119072445342868,1.212369605751473,0.011619655048665398,0.5307032745125473,0.009575788830257522,1.5
16,0.027428315985658043,0.019295749460402148,1.688780381691154,0.03941817825040771,0.7508342186225688,0.02456798465547492,1.6
17,0.05754074609878689,0.04608369960541492,2.092849106277078,0.1113792406012812,0.9230508296137456,0.05519097010848763,1.7000000000000002
18,0.10801298760352437,0.09728150109804286,2.3390909022523205,0.26348178427365543,1.0055875001329095,0.10970076865622713,1.8
19,0.1829893408671624,0.18219280347786418,2.397646941768535,0.5251636854765719,0.995512769008843,0.1943784592189904,1.9000000000000001
20,0.28221832300068767,0.30457030825129644,2.2998377469363307,0.8893837171368254,0.9239777590041423,0.3090880858588823,2.0
21,0.4001086889332793,0.4583627251993812,2.109167668564049,1.2938392464020398,0.8325231723407844,0.44500059174948586,2.1
22,0.5268747075386301,0.6275375792690795,1.8865273868495898,1.6394621150267215,0.7517138347826003,0.5876455125332768,2.2
23,0.6511695409380116,0.7907530932583,1.6731254479135984,1.8410705820549182,0.694699807612958,0.7231901584632708,2.3000000000000003
24,0.7634826449887778,0.928351210134995,1.490236294366821,1.8711075321390498,0.6626389444045448,0.8423664929637991,2.4000000000000004
25,0.8593253329636313,1.0281117086202365,1.344723818697182,1.7634749746133598,0.6525445842247022,0.9404181280869656,2.5
26,0.9400216593136503,1.0877488856060262,1.2346586021766732,1.5828895739993107,0.6617840582079689,1.0163188075552183,2.6
27,1.009747981949758,1.1138676330566986,1.1542725412986043,1.3899090069336348,0.6884822645220421,1.0722675605635634,2.7
28,1.07093945383687,1.1178592150047946,1.0973012414633023,1.2227269032811812,0.7294154721509171,1.1118079641576222,2.8000000000000003
29,1.1218977171394526,1.110409343364376,1.057811085329469,1.096320356145761,0.7784349887483463,1.1375407598692486,2.9000000000000004
30,1.158311473754007,1.097702245494713,1.029657612077976,1.0101038692904338,0.828027140277908,1.1508183350394021,3.0
31,1.1770591134190989,1.081416699637456,1.0070461645339215,0.9562825147178827,0.8729760423316674,1.1532896854108046,3.1
32,1.1792045637875528,1.0615462876238115,0.9865267427133021,0.9252766325147452,0.9122960001042221,1.148004866274015,3.2
33,1.1698287858715932,1.0391184362961807,0.9680542632835598,0.9084853547581403,0.9474047987888613,1.1385531376988538,3.3000000000000003
34,1.155030896110295,1.0166957691133152,0.9534859453409491,0.8999198543476784,0.9787754573691628,1.1272400131062492,3.4000000000000004
35,1.1391983274245427,0.9969927473371887,0.9442203005802066,0.8969469478996088,1.0047109525458147,1.1138572551120258,3.5
36,1.1245206859374675,0.9815327626266769,0.9404228366743774,0.8993651780349478,1.0229679676787402,1.0961900364037127,3.6
37,1.1114380011874527,0.9704035413240799,0.9418484293786648,0.9071687054177576,1.0329651706461522,1.0725261513862216,3.7
38,1.0985075773582305,0.9628823269163218,0.9484824391917078,0.918960506087936,1.036528949360062,1.0441453516507975,3.8000000000000003
39,1.0828357371663335,0.9583399271048527,0.9600428267803566,0.9322505129338713,1.036854057019076,1.0151049696984982,3.9000000000000004
40,1.0624786109264113,0.9567583612633588,0.9750270740885619,0.9445980656010394,1.036535328118395,0.9897345634503202,4.0
41,1.0388659406774843,0.9584420123707255,0.990258174931109,0.9544012777405667,1.036281550757258,0.9703395300506824,4.1000000000000005
42,1.016113769506243,0.9634047704619285,1.0016743708363038,0.9614310296714159,1.035625166065876,0.9567952324784005,4.2
43,0.9979425539322127,0.9711745067476225,1.0064558128039187,0.9668862234758524,1.0347093920191386,0.9474685128176787,4.3
44,0.985705834303577,0.9809680214111769,1.0048251055889945,0.9721210465096769,1.0346513791911036,0.9403782731416681,4.4
45,0.9786771948768385,0.9917879274594252,0.9997200937135173,0.9769431582866095,1.0361532213693283,0.9344289277529318,4.5
46,0.97498128606388,1.0024135762064548,0.9948191534218608,0.9796821386294633,1.0385910241259781,0.930311698016911,4.6000000000000005
47,0.9722421317448195,1.011471694220193,0.9925579637735908,0.9791279434415152,1.040617507366968,0.9297596766552988,4.7
48,0.9686304481839405,1.0177742474406322,0.9929864915523179,0.97603568109021,1.0410232090070755,0.93325778723857,4.800000000000001
49,0.9638343203824462,1.0210177067163795,0.9941024919095682,0.9726718194587474,1.039160034590397,0.9385951748913641,4.9
50,0.9586795068317603,1.022297828750509,0.9935971686442596,0.9711787208526771,1.0353944420392933,0.941968273574923,5.0
51,0.9538759065704551,1.023503982636707,0.9904138999983173,0.9722445324672322,1.031188696079489,0.9407552126245465,5.1000000000000005
52,0.94958068324692,1.0258378962980497,0.9849449902178381,0.974918738528427,1.028130996953544,0.9357493247588085,5.2
53,0.9460170251846953,1.0290117268119743,0.978488096213628,0.9775799145987472,1.0267047823060498,0.930788114811787,5.300000000000001
54,0.9438113005954814,1.031893122469145,0.972593463233344,0.9792852384533967,1.0261806067759367,0.9296647027656577,5.4
55,0.9436743414844255,1.0335925125001677,0.9684002797153753,0.9803357247714684,1.0256735338472287,0.9331189462843511,5.5
56,0.9461962116406215,1.033899110384301,0.9664380831531845,0.9815289625051762,1.0250781689263933,0.9389569435287816,5.6000000000000005
57,0.9517541211854736,1.0330986729991714,0.9667768295830905,0.9830523893074379,1.0248533625841105,0.9449197257555113,5.7
58,0.9599259624819428,1.0317216019682212,0.9688160215992666,0.9843384390453822,1.0251198203184948,0.9509083547706983,5.800000000000001
