,Li-Li,Li-Cd,Li-Si,Cd-Cd,Cd-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,6.356196293987704e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,5.62128149026623e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,3.4570126971395416e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.00016428560732933308,1.4369255751114073e-07,5.747702300445629e-07,0.0,0.0,0.0,0.9
10,0.0006337987385959221,2.4750357364944348e-06,6.055036545911105e-06,0.0,0.0,0.0,1.0
11,0.0020357919409416986,1.996425575171579e-05,4.684645754249792e-05,0.0,2.300673081480314e-07,8.28242309332913e-06,1.1
12,0.005555763768646307,0.00011710824118026859,0.000259546957042749,0.0,3.3689490123669478e-06,8.847571663984155e-05,1.2000000000000002
13,0.013158685455479612,0.0005436266766941135,0.0011681802981447983,0.0,2.771431231605662e-05,0.0005856653386283077,1.3
14,0.02765381428887439,0.0020882684251338885,0.004375495208901851,5.1479936926511965e-06,0.00016418765309119128,0.002942457847711647,1.4000000000000001
15,0.052664212845500644,0.006757989021623773,0.013879791926324317,4.644333694207256e-05,0.0007733521931625074,0.01187638691879519,1.5
16,0.09250131668615177,0.018715706441339915,0.03766475002438499,0.0002821132414958946,0.0030144550290064453,0.0395216454168996,1.6
17,0.15161927165094832,0.044988130303770746,0.08829562165252182,0.001330550377602006,0.009904697746396969,0.10980524076732617,1.7000000000000002
18,0.23319118803964356,0.09517074306532944,0.18068521175439559,0.00506926198863544,0.027771420674641657,0.2572556423062511,1.8
19,0.3371709881303245,0.17950112520282857,0.3263731453849337,0.015963869485427884,0.06711927556441413,0.5128711698515529,1.9000000000000001
20,0.45911721143399464,0.3052830845462185,0.5262782143950325,0.0422997897836292,0.14112083809410528,0.8781616855813469,2.0
21,0.5907571451260392,0.47255198787881497,0.7660206669209927,0.09597460118969181,0.2604738479395349,1.3049845966508924,2.1
22,0.7219391526426483,0.6709044785581065,1.0174114370127472,0.18960309854356816,0.4259044215456416,1.7045872976537766,2.2
23,0.8428234260449987,0.8800649430041806,1.2465208114149762,0.33110580081265595,0.6229073397071473,1.9876891786663506,2.3000000000000003
24,0.945371993035451,1.0754225726761424,1.4247383951219625,0.5178037377354006,0.8237672605075581,2.106441813544785,2.4000000000000004
25,1.0243276865106283,1.2360846027739367,1.5370657559284047,0.7332200029230841,0.9974345801908163,2.0672675472133517,2.5
26,1.0784751904914145,1.3502382027850772,1.5836096181317902,0.9491416837350253,1.1214498117023768,1.913357389018591,2.6
27,1.1111560978751611,1.4151471128729118,1.5749808500389404,1.1332502669413993,1.1883727242206232,1.6984987242084681,2.7
28,1.1279055597478664,1.434554861830627,1.5259331394839315,1.2601721696625816,1.2041328425803473,1.4693413920024716,2.8000000000000003
29,1.1325232270051204,1.4169370677663953,1.450954369059733,1.32117417653211,1.181831343361258,1.2584513235192583,2.9000000000000004
30,1.126030097870398,1.3737497267084138,1.3626186789368229,1.3260800014336827,1.1360927680818962,1.0837559504135332,3.0
31,1.109535032885447,1.316076149006011,1.2713186290399214,1.2951416100439106,1.0800359300172842,0.9506626795636773,3.1
32,1.0866559572460832,1.2518235939325366,1.1848823240942223,1.2474084448545253,1.0239598330823938,0.8558978270121501,3.2
33,1.0621353308913248,1.1860211522548427,1.1083470103769044,1.1946840670142937,0.974729009804327,0.7929358818438049,3.3000000000000003
34,1.0389593231530891,1.1227460443987376,1.0445886062746128,1.1425230777658169,0.9358102225428417,0.7563932731426046,3.4000000000000004
35,1.017817392078864,1.0656695389158364,0.9949184124184834,1.093564065556304,0.9078300065244715,0.7423588632842825,3.5
36,0.9986516466703459,1.0172129060609534,0.9587727408956064,1.050183244007223,0.8893942360413922,0.7463292705125806,3.6
37,0.9816024271490322,0.9782605732207414,0.9338383115365797,1.0156505838159278,0.8781946781943869,0.7626745220937735,3.7
38,0.9668710259830569,0.9488461425348407,0.9176009017020768,0.9928595262442473,0.8722852374739294,0.7861672332212541,3.8000000000000003
39,0.9549029379553248,0.9286482699762515,0.908797585352415,0.9815052474825295,0.8709954697806294,0.8131944091216562,3.9000000000000004
40,0.9467506457570685,0.916887312322742,0.9072676752502531,0.9770424182134178,0.8751779931546125,0.8417447842479201,4.0
41,0.943435152721719,0.9122353343580697,0.9128209169566295,0.973497557212179,0.8867488299441599,0.8711377200002769,4.1000000000000005
42,0.9448515698646841,0.9130259511537209,0.9243779309301781,0.9679410423019875,0.9073418092110737,0.9015358197323702,4.2
43,0.9497666792353604,0.9176349851467132,0.939911972856211,0.9623347232974095,0.9364517287569203,0.9326075236419458,4.3
44,0.9567624065251605,0.9249436599480689,0.9570644281805215,0.9608989721815772,0.9706556831443762,0.9623367254324119,4.4
45,0.9647698808856187,0.9345868262438111,0.9737388554629345,0.9654501027964113,1.005068361667177,0.987696903968963,4.5
46,0.9730399754878406,0.9466064814227102,0.9883082164492049,0.9732597295170812,1.0356097671515634,1.006679228254648,4.6000000000000005
47,0.9812637762156383,0.9606673617517769,0.9997900342804912,0.979667014126459,1.0598319619740038,1.0190218597249134,4.7
48,0.9895719353128699,0.9756404869640264,1.008014651682377,0.9823983515061523,1.0765807257084543,1.0251021436129149,4.800000000000001
