,Li-Li,Li-Nb,Nb-Nb,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,1.4438838736635827e-06,0.0,0.0,0.6000000000000001
7,1.1930872141926796e-05,0.0,0.0,0.7000000000000001
8,7.05748947938583e-05,1.381841988467101e-07,0.0,0.8
9,0.0003308793511141067,1.1458849265536845e-06,0.0,0.9
10,0.0012637762529223585,8.51982428948454e-06,0.0,1.0
11,0.004053041796422428,4.597135526892351e-05,1.861850258145147e-06,1.1
12,0.011215037885030185,0.00020355364058787296,2.2045832135836643e-05,1.2000000000000002
13,0.027398177048549008,0.0007617652175897816,0.00014838456172391653,1.3
14,0.0600466123006268,0.002440032756071109,0.0007504379959947207,1.4000000000000001
15,0.11895152831002329,0.006754535560244184,0.0030515164291767126,1.5
16,0.21361460374671037,0.016312858590599548,0.010205908808865372,1.6
17,0.3487005416126398,0.03479908435353771,0.02847309576820937,1.7000000000000002
18,0.5200523464050415,0.06652897395894057,0.06728145927684266,1.8
19,0.713975216157407,0.1157209824699451,0.1371979369335098,1.9000000000000001
20,0.9105487767901693,0.18575988232738805,0.24702435383129126,2.0
21,1.0894212658678588,0.2786763537344214,0.4029457071107921,2.1
22,1.2355815020546101,0.394692550609017,0.6100788805438242,2.2
23,1.3426234566531714,0.531239786811,0.8716141891942114,2.3000000000000003
24,1.412027565232519,0.681341911963653,1.1811850655912661,2.4000000000000004
25,1.4494308895626349,0.8326468304185761,1.5125856117655663,2.5
26,1.4610543433045673,0.9688861278624509,1.8183210775110754,2.6
27,1.452490490125945,1.074025710175189,2.044198791838176,2.7
28,1.428810568553682,1.1373414314040173,2.153325460994814,2.8000000000000003
29,1.3941536722673158,1.156979869294373,2.1427703077571665,2.9000000000000004
30,1.3511013042887619,1.1402268378032248,2.04072334890492,3.0
31,1.3013581865297486,1.1001648019093475,1.8877604700926347,3.1
32,1.2474075433260934,1.050410644473503,1.717271872233233,3.2
33,1.1931240204561098,1.0009258993744097,1.5472131085031302,3.3000000000000003
34,1.1426651854161818,0.956883529141817,1.3836905714050942,3.4000000000000004
35,1.0987910881074643,0.9200216547583083,1.2287575282837362,3.5
36,1.061938813374262,0.8904351560883265,1.085562493804783,3.6
37,1.0308117599632494,0.8675104527764023,0.9594042872133224,3.7
38,1.004273721966611,0.8502763478273493,0.8564465797388529,3.8000000000000003
39,0.982669168985181,0.8379564381671823,0.7815814138137508,3.9000000000000004
40,0.9672418972401641,0.8306674803547276,0.7365700679157451,4.0
41,0.9587743429617569,0.8294658878239275,0.7196203324344025,4.1000000000000005
42,0.9570045998706602,0.8355213030552642,0.7263856135272305,4.2
43,0.9606177348846857,0.849098095235443,0.7513059601546948,4.3
44,0.9672989842926246,0.8692109936722443,0.7889338106282564,4.4
45,0.9745189144009987,0.8941984079184219,0.8350853945932897,4.5
46,0.980980577491347,0.9225311569537661,0.8868170556818613,4.6000000000000005
47,0.9869740212092823,0.9530016223523624,0.9410156971656308,4.7
48,0.9929251689898709,0.9842622749952884,0.99344645951127,4.800000000000001
49,0.9981793517599274,1.0144219424296197,1.039715800199509,4.9
50,1.0015967191741695,1.0412890990938048,1.0769024051490212,5.0
51,1.0027145875025347,1.0631707352596138,1.1039173655587953,5.1000000000000005
52,1.0017322766792986,1.079498995544517,1.1205914788064577,5.2
53,0.9987718313362954,1.0905899571384994,1.1268729607249506,5.300000000000001
54,0.9938563300307706,1.096773122013635,1.1229615960251031,5.4
55,0.987579484225636,1.0979200281161772,1.1099077487977078,5.5
56,0.9812200078040599,1.0939230436262541,1.0895806588278694,5.6000000000000005
57,0.9758997312471398,1.0854891930505042,1.0638057642797203,5.7
58,0.971737556793798,1.0742848357401442,1.0338182664418636,5.800000000000001
59,0.9678902745545982,1.0622310486768571,1.000833257693139,5.9
60,0.9634037256530694,1.0506719935972444,0.966899792448855,6.0
61,0.9580883562086748,1.0401700454687626,0.9349192248750462,6.1000000000000005
62,0.952676181576595,1.0308872577408428,0.9079255755761128,6.2
63,0.9481407337634663,1.0229613847402814,0.8881687453874055,6.300000000000001
64,0.9449338241965244,1.0166035278639534,0.876326519901581,6.4
65,0.9429048710863361,1.012106609358666,0.8713430657681764,6.5
66,0.9417794678669441,1.009866955122741,0.8712536121025427,6.6000000000000005
67,0.9415239093320067,1.0102702781714226,0.8743461436973016,6.7
68,0.9422641510262786,1.0134102631550284,0.879699861510835,6.800000000000001
69,0.944008189693249,1.018835143347008,0.887069398707021,6.9
70,0.9465176857665275,1.0255725979690844,0.8966700317365064,7.0
71,0.9492860967438362,1.0325984042392806,0.9089829831388442,7.1000000000000005
72,0.9515512858211057,1.03954436309391,0.9242154662551241,7.2
73,0.9526176963646771,1.0468852973584892,0.9414639609726924,7.300000000000001
74,0.9524657426873677,1.0551295353897097,0.9585175691908016,7.4
75,0.9519425303034758,1.0638025942914056,0.972897420386467,7.5
76,0.9521467966753856,1.0714627811367623,0.9831554297679839,7.6000000000000005
77,0.9536006545020168,1.0767434990176605,0.989060149117833,7.7
78,0.9559411467349197,1.0792493278368829,0.9909090517482678,7.800000000000001
79,0.9582365214623826,1.0795044351140177,0.9891311934914544,7.9
80,0.9596277431935113,1.0781683267580067,0.9844153043049847,8.0
81,0.9598516747461822,1.0753059299076317,0.9777033446401966,8.1
82,0.9592436593310562,1.070447631140924,0.9697339233452583,8.200000000000001
