,Li-Li,Li-Ru,Ru-Ru,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,3.7591065927519607e-07,0.0,0.0,0.5
6,4.720134750877173e-06,0.0,0.0,0.6000000000000001
7,3.373753382253849e-05,0.0,0.0,0.7000000000000001
8,0.0001791244909958841,6.203994279053527e-08,0.0,0.8
9,0.0007687439332084404,1.2288882012822429e-06,0.0,0.9
10,0.0027346696425715046,1.0812158699907402e-05,0.0,1.0
11,0.008212607209236973,6.77303089833023e-05,7.479164294304971e-07,1.1
12,0.021176746331121182,0.0003340024535874215,1.126962345857617e-05,1.2000000000000002
13,0.04767812121251923,0.001358969726499796,9.47236323036384e-05,1.3
14,0.09523582009610777,0.004669508945440403,0.0005594341685118173,1.4000000000000001
15,0.17108445662235927,0.013751920313840815,0.002606597250285343,1.5
16,0.2793530283802898,0.03514866844452145,0.009982262592379764,1.6
17,0.41806562880132786,0.07883358348579109,0.03194920930411626,1.7000000000000002
18,0.5779176057157185,0.15674458568716543,0.08624273419445795,1.8
19,0.7443832899848308,0.27882886543706015,0.19794739448827386,1.9000000000000001
20,0.9023230707753932,0.44742948162486046,0.3897263759459889,2.0
21,1.0399908352311364,0.6526489611699121,0.6648434171085738,2.1
22,1.1501679414903125,0.8721828920109489,0.9941105033412027,2.2
23,1.2293523269830278,1.0773625788995305,1.3198491153211123,2.3000000000000003
24,1.277372347196517,1.2427802681483717,1.578089582957131,2.4000000000000004
25,1.2974360848014868,1.3537672548682573,1.7251723570590014,2.5
26,1.2945464626326695,1.4079591092104882,1.7521064977959806,2.6
27,1.272689137686943,1.4121982233134447,1.6805630290099023,2.7
28,1.234132654870627,1.378198969252258,1.5470753076229307,2.8000000000000003
29,1.181721623887253,1.3188512285822416,1.3872604304174028,2.9000000000000004
30,1.1207239285418213,1.245711612301079,1.227825096604073,3.0
31,1.057829588579422,1.1680712754160623,1.0859832953121424,3.1
32,0.9990385240699142,1.0932598541695167,0.9713240602306531,3.2
33,0.9485619884862962,1.0269690724980232,0.8868590018963819,3.3000000000000003
34,0.9087003405818247,0.9729128718205537,0.8299262177774169,3.4000000000000004
35,0.8800750675499813,0.9324582812492535,0.794671826056788,3.5
36,0.8621590644159273,0.9051109504668606,0.77552451385219,3.6
37,0.8538421816603996,0.8896239089753026,0.7694540700890861,3.7
38,0.8537721051386007,0.8848519023555832,0.775867949464004,3.8000000000000003
39,0.8606135763380495,0.889935950557303,0.7948611276252291,3.9000000000000004
40,0.8734124196336703,0.903966773067435,0.8253597546084563,4.0
41,0.8914112036441599,0.9254184585301367,0.864479808187301,4.1000000000000005
42,0.9129239999778084,0.9517855748128723,0.908216736601973,4.2
43,0.9348346649233843,0.9799211282176283,0.9524461155407089,4.3
44,0.9540771020118681,1.006900425568225,0.9934551173820612,4.4
45,0.9695282831531902,1.0306359129250051,1.0281086915832034,4.5
46,0.9819929435852526,1.0499351984172451,1.0540452189147758,4.6000000000000005
47,0.9925140700168844,1.0643255643721026,1.07002473463949,4.7
48,1.0009412732115932,1.07382619638237,1.0762279268039505,4.800000000000001
49,1.0060350029772764,1.0785835889763409,1.0741575460916888,4.9
50,1.0068182279338134,1.0786314515914976,1.0660721770749688,5.0
51,1.0036302489051139,1.0741072278706192,1.0543351850650962,5.1000000000000005
52,0.9978468220914978,1.0656856818735616,1.0409385991725415,5.2
53,0.9909430315162461,1.0545928470700408,1.027203646368926,5.300000000000001
54,0.9840655092881012,1.042089966832136,1.0137958338591149,5.4
55,0.9780269598636194,1.0290692195446167,1.0010542342685553,5.5
56,0.9731399337992892,1.0162097081429844,0.9892856245643774,5.6000000000000005
57,0.9691332708470217,1.0043017046103984,0.9788621377766747,5.7
58,0.9656932257459588,0.9942188314198659,0.9702004493447075,5.800000000000001
59,0.9631700462995051,0.9866367520620873,0.9636827841158356,5.9
60,0.9624837593983218,0.9818371798440817,0.9595925313358179,6.0
61,0.9641908297296276,0.9796256139657215,0.9581471562240039,6.1000000000000005
62,0.9677550256872813,0.9793774737491435,0.959446017151882,6.2
63,0.9717855050704655,0.980367560810158,0.9631951763862042,6.300000000000001
64,0.9749609431859732,0.982236813466998,0.9686122029955831,6.4
65,0.9769606371415539,0.9851167305224028,0.9749119195735302,6.5
66,0.978770917161301,0.9893003288670408,0.9818968037337853,6.6000000000000005
67,0.9819109751639845,0.9948314949178462,0.9897909736231318,6.7
68,0.9870078156325371,1.0013466868812122,0.9983847358315839,6.800000000000001
69,0.9930483119670259,1.0081427308160351,1.0065945550912727,6.9
70,0.9981027119631662,1.0143472423177426,1.0131203111150622,7.0
71,1.0007769433104956,1.0191340286068469,1.0174523835087705,7.1000000000000005
72,1.000980012688897,1.0219596022159223,1.0200276553004755,7.2
73,0.9994834616999214,1.0227250756542912,1.0214491832849526,7.300000000000001
74,0.9971123608288651,1.0217239215582823,1.0217474495352077,7.4
75,0.994553354978995,1.0194027818606377,1.0204523565557415,7.5
76,0.9925975210977322,1.0161814146163792,1.017245400656895,7.6000000000000005
77,0.9919328007812358,1.0124714253708318,1.0124225103999096,7.7
78,0.9923714652565752,1.0087197592926975,1.0067780844509928,7.800000000000001
79,0.992484630596183,1.005322451484821,1.001176844340388,7.9
80,0.9904725667031601,1.0025286693726951,0.9962053997445317,8.0
81,0.985690070872824,1.0004689519940253,0.9920154207069101,8.1
82,0.979291039479742,0.9991818677266497,0.9883424204834724,8.200000000000001
