,Li-Li,Li-Si,Li-C,Si-Si,Si-C,C-C,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,2.5453094096502677e-07,0.2
3,0.0,0.0,0.0,0.0,0.0,1.0494708507991035e-05,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.00017722060111070682,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0013644688012477459,0.5
6,0.0,0.0,2.597254499643129e-07,0.0,2.597254499643129e-07,0.007280242816984507,0.6000000000000001
7,1.3574983518134758e-06,0.0,5.65299287295294e-06,0.0,7.010491224766418e-06,0.030844453191861798,0.7000000000000001
8,1.402216094667403e-05,0.0,4.7543514161857684e-05,0.0,8.095377412735206e-05,0.10587516507645375,0.8
9,8.465681124731468e-05,1.7614597990659286e-07,0.00028233272873261965,0.0,0.0005534816059168592,0.2955506904972529,0.9
10,0.0004003175135091903,2.5626768568832317e-06,0.0013196105994707022,3.1423572958645274e-07,0.0028257689556948724,0.672816258901562,1.0
11,0.0015225123260319887,1.998949133771776e-05,0.005053676679515482,7.689649222809285e-06,0.01162636709051891,1.253488108745955,1.1
12,0.004744164811009004,0.00011913492793380182,0.016171815153730097,6.933141852641336e-05,0.039340352497539824,1.9203657211832004,1.2000000000000002
13,0.012340512157139173,0.0005603480028210296,0.04383484246089585,0.00042659897505593745,0.11035839663734326,2.435161679683569,1.3
14,0.02741004195973551,0.002190009404539077,0.10188359854458862,0.002041826147456827,0.25837405339002023,2.579088627723215,1.4000000000000001
15,0.05339311260434594,0.007251020389654797,0.20543729621010104,0.007971593015138874,0.5086532362236821,2.310534950986408,1.5
16,0.09372358436709953,0.020554514763613366,0.3635346257638853,0.025875513589145895,0.8496587113558587,1.7839450758392734,1.6
17,0.1515832898522023,0.05030167916858639,0.5712066599759629,0.07064382431179372,1.2173025114928848,1.2228585658437483,1.7000000000000002
18,0.22915385019583517,0.1071936411536586,0.8068427105770049,0.16378989524729407,1.5150704380468802,0.7838656441422226,1.8
19,0.3263152065080987,0.20090764782212592,1.0381553112084454,0.32551364448019604,1.6632703696024758,0.515394060518165,1.9000000000000001
20,0.43974570619313524,0.3349500907327868,1.2336096296817867,0.5598242102017777,1.6409710979254384,0.3955399549698287,2.0
21,0.5628082332742848,0.5025568180296704,1.3722004410770214,0.841743873993533,1.4901383820195007,0.38205225908627155,2.1
22,0.6859780860924204,0.6862161681674301,1.447174901989534,1.1195029039315336,1.2851059143508952,0.4373939874386069,2.2
23,0.7982455987052758,0.8621668116988012,1.4645390249968617,1.3356706586119451,1.0944125959122457,0.5312606247837508,2.3000000000000003
24,0.8902007017361051,1.008856669926207,1.4388527479141358,1.4546072921597568,0.9580238684989574,0.6362616640511358,2.4000000000000004
25,0.9573259114321828,1.1147016129061291,1.3878230941436471,1.4764213350571709,0.884926316228071,0.72787138522366,2.5
26,1.000698393131778,1.1798405575840731,1.32741410605623,1.428920141194874,0.8634524306255584,0.7896787765440766,2.6
27,1.0248105925265636,1.2118269192619249,1.2690352166131182,1.3474147432832146,0.8741559400899305,0.8183963365081841,2.7
28,1.0347837401441313,1.2201235053536428,1.2185347588043844,1.258855995501421,0.8986017022781163,0.8233011846746112,2.8000000000000003
29,1.0343656473382834,1.2129048468087722,1.1764796548266478,1.1780040699056002,0.9229962800916726,0.8199075083185989,2.9000000000000004
30,1.0252072096709126,1.1961663409824193,1.1403191690753012,1.1114718378129795,0.9390600504997935,0.8220390592872906,3.0
31,1.008218934891333,1.1739988883419836,1.107527076536658,1.061716749668171,0.9439562073192341,0.836625148845872,3.1
32,0.9862703539765425,1.1491993851586504,1.0770196424746838,1.0276922673193645,0.9393617263334513,0.8629352195354891,3.2
33,0.9652487271955418,1.1239411748733472,1.04847996402976,1.0049625881443163,0.9297700516238767,0.8952786590925303,3.3000000000000003
34,0.9515791770292681,1.1004767486517713,1.0219006547089584,0.9882188994789592,0.920686138339024,0.9270594210242772,3.4000000000000004
35,0.9481715533650292,1.0808791073590192,0.9981504398701466,0.9742415281783035,0.916799028468508,0.9540084024547124,3.5
36,0.9527919909949587,1.0652132230590856,0.9790562693335152,0.9619962276390721,0.9203784466949669,0.9748697227786368,3.6
37,0.9603720028972667,1.0506949574137718,0.9662270261710749,0.9506634533004952,0.9309359403600499,0.9898099479938969,3.7
38,0.9668632013943713,1.034374966540851,0.9597596071229888,0.9389297446898957,0.9464796393125907,0.9989801572014804,3.8000000000000003
39,0.9711141926847329,1.016582033318902,0.9582301942896623,0.9263296753768899,0.9649349673682887,1.0028146849245685,3.9000000000000004
40,0.9740615116229058,1.0005586193590172,0.9600413201764249,0.9143996546918828,0.9843258991122251,1.0029749492581053,4.0
41,0.9771683953649112,0.989092215686132,0.9644556565685554,0.9061521286956811,1.002234150294496,1.0021554124484766,4.1000000000000005
42,0.9814922622541671,0.9826867813256017,0.9707652914181074,0.9046357530238441,1.0160620655833488,1.0025963722064342,4.2
43,0.9871311848117992,0.9805219231856899,0.9769308955620984,0.9114437130871238,1.0241947440783494,1.0047841675863027,4.3
44,0.9930865726218402,0.98166163714662,0.9804311364350862,0.9252012104914018,1.026799832889891,1.0077321723418595,4.4
45,0.9978864333910545,0.9850247345049654,0.9807600365644964,0.9411017547274044,1.025574943750474,1.0103974634363126,4.5
46,1.0004044907875653,0.9891206324871684,0.980198947212073,0.953047053084519,1.022814009716119,1.0123688169626068,4.6000000000000005
