,Li-Li,Li-Co,Li-Si,Co-Co,Co-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,3.5554028242385707e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,4.157790638910684e-06,6.13125589077876e-07,0.0,0.0,0.0,0.0,0.6000000000000001
7,2.777387418389728e-05,7.870309784776733e-06,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00014251823798323865,5.893262602315522e-05,2.3471213956887441e-07,0.0,0.0,0.0,0.8
9,0.0005897117132762133,0.00031947545256214336,1.8423820565900424e-06,0.0,1.1435110467576995e-06,0.0,0.9
10,0.0020297971811607854,0.0013891984035859844,1.323707858129727e-05,4.079934475468827e-06,1.7471013319611608e-05,1.8545156706676497e-07,1.0
11,0.005914982758055291,0.0049867235766662245,7.33442289776065e-05,3.8588487470110925e-05,0.00014178489910211012,2.707292716021613e-06,1.1
12,0.014897826815612547,0.014986477453068784,0.00033738779269772417,0.00024329734651524153,0.000831218635293942,2.5823718051931015e-05,1.2000000000000002
13,0.03310054887783583,0.038167629648530724,0.0013300575982086282,0.00118598666509499,0.003850192537258754,0.00016838394560169116,1.3
14,0.06610678979233135,0.0834367787186507,0.004551605230555646,0.004683274278646971,0.014683442176934295,0.0008534929062971506,1.4000000000000001
15,0.12047089964861077,0.15878434369204344,0.013597949871691172,0.015360869857405925,0.046917867108715434,0.0035339840803616145,1.5
16,0.20238704342511774,0.2670911663792825,0.03552577467698143,0.04261061845717222,0.12681164971998318,0.012245971284836331,1.6
17,0.3154868450617645,0.4033431435831713,0.08134794250801426,0.10154126061751956,0.2920886793278997,0.03580350557521091,1.7000000000000002
18,0.4585109113772439,0.5553956634189927,0.16389897488369512,0.21064106933963686,0.5774502589764093,0.08887090784573065,1.8
19,0.6238072226048794,0.7082992446336606,0.2921949674417671,0.3845684843871268,0.9874726976879781,0.1885945905780428,1.9000000000000001
20,0.7972593582417014,0.8494836802268538,0.46437172375153457,0.623651577340686,1.4736849386475264,0.3452170773864724,2.0
21,0.9606653130644006,0.970842090156208,0.6642678296265494,0.9062861234703425,1.9392447502739316,0.5512147694024914,2.1
22,1.0971469474140776,1.0668748526759362,0.865596447248646,1.1916071503070265,2.276821491461097,0.7781540527424077,2.2
23,1.1970218671688573,1.1328019875165931,1.0416170746249944,1.4335650933620125,2.4168075873692074,0.9860684064608831,2.3000000000000003
24,1.2597657636577682,1.1659050292253725,1.1736676573802918,1.597999601136065,2.354105024201375,1.1398420325737124,2.4000000000000004
25,1.290969559855271,1.168064982915467,1.2542286193074097,1.6717974125525208,2.1402438873412675,1.2222752266992238,2.5
26,1.2975653362367154,1.145767863038942,1.285613971419237,1.6609294805397865,1.8519989484814456,1.2375595650750548,2.6
27,1.2850752992778887,1.1073457992173865,1.2769513881536554,1.583089503393662,1.5582240662909612,1.2053389604734743,2.7
28,1.258092944709223,1.0600726207542994,1.2406172583067185,1.4615880762783087,1.3014135566414322,1.150054346487209,2.8000000000000003
29,1.2219654795245565,1.009196109199116,1.1889436489522935,1.321616831122448,1.0973613575667356,1.0918466305632184,2.9000000000000004
30,1.1825549723152542,0.95898437950342,1.1321924568429254,1.1862461202574581,0.9450234098783008,1.0428046785450267,3.0
31,1.1439543934472995,0.9140591892060281,1.077660711268396,1.0714547890201644,0.83654762175526,1.0077808730754454,3.1
32,1.1072346182308104,0.8790508699518589,1.0293846428955749,0.98335890603581,0.7630951518525191,0.987024045374668,3.2
33,1.0719288051660745,0.856756723013664,0.9889114796639349,0.9203700899840549,0.7174356067154293,0.9788810043737871,3.3000000000000003
34,1.038349648637575,0.8471008854392672,0.9570967187925307,0.8784217725368613,0.6949726769785733,0.9817176625128547,3.4000000000000004
35,1.008305903483435,0.8481985816129937,0.9350310553482319,0.8548450389624696,0.6934613915607388,0.9940522796818659,3.5
36,0.984015737683285,0.8582505176342634,0.9230046283751207,0.8487468904124007,0.7114993739298324,1.0130222290433408,3.6
37,0.9665840564234132,0.8761867643929866,0.9194149677910375,0.8592707571870702,0.7466597275985294,1.0333080813179898,3.7
38,0.9554661315488256,0.9008526783245173,0.9216713576057842,0.8841668056578421,0.794457042765398,1.0486674572184478,3.8000000000000003
39,0.9494376056892226,0.9303057605349968,0.9280238658416364,0.9198019386824284,0.8488138040633112,1.055425393722641,3.9000000000000004
40,0.9478448752129846,0.9620917388009269,0.9379838428647089,0.9616862889427003,0.9035416232324175,1.0546773772841849,4.0
41,0.9504379087249013,0.993766648941489,0.9511266478160026,1.0042894488041858,0.9537971063919372,1.050680910780982,4.1000000000000005
42,0.9562381964084752,1.0231352128918993,0.9660931144218251,1.0410738374473518,0.9968177637784597,1.0466916185338078,4.2
43,0.9633901805878743,1.048537184371415,0.9809169716597189,1.0661929142415283,1.0315987962148054,1.042515664613168,4.3
44,0.9703162471497915,1.0689935142125786,0.9940766950778588,1.0767160374647389,1.0576602129202222,1.036048542447493,4.4
45,0.9765701359071894,1.0836773905707504,1.0050155475423934,1.073369147092186,1.0742580414200997,1.0262779827799269,4.5
46,0.9823845979665291,1.0913134181991948,1.013706767054261,1.0596874082704217,1.0811479147008853,1.0142581970099989,4.6000000000000005
47,0.9876548670323051,1.0906662186950324,1.0199260000951884,1.0403004696195668,1.0797220331427926,1.0019773522931243,4.7
