,Li-Li,Li-I,I-I,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,8.579992287793121e-07,0.0,0.0,0.9
10,5.594857776252629e-06,0.0,0.0,1.0
11,2.9099906970092932e-05,0.0,0.0,1.1
12,0.00012305375273803583,1.2398088855861063e-06,0.0,1.2000000000000002
13,0.0004154955958404943,1.8064890447752356e-05,0.0,1.3
14,0.0011766873690156128,0.000141614701539718,0.0,1.4000000000000001
15,0.0029321671765220754,0.000790792021618052,1.1718420468677749e-07,1.5
16,0.0067228046219301165,0.0035146053658112377,2.486093788058474e-06,1.6
17,0.01444332945842446,0.012849745286198389,2.532520184935904e-05,1.7000000000000002
18,0.028800648038798143,0.03917819641532285,0.00016631548026884707,1.8
19,0.05254961141736523,0.10073430111194506,0.0008302127873242672,1.9000000000000001
20,0.08759553213441792,0.22085108206582413,0.003372114932384373,2.0
21,0.13464243385035313,0.4179180051220347,0.011348585451972258,2.1
22,0.19290301919801658,0.6915728554293591,0.031949063454426316,2.2
23,0.2594495713653843,1.014437486390719,0.07589716609083684,2.3000000000000003
24,0.32929744899075547,1.3373433552154728,0.15372087979703553,2.4000000000000004
25,0.3970470917509876,1.6073775442679332,0.26878833251210954,2.5
26,0.4589468202500147,1.7886365386837437,0.4117609635969648,2.6
27,0.51396491450074,1.8728823145332971,0.5618323484356842,2.7
28,0.5634390426054244,1.8752473341472553,0.6952124623691752,2.8000000000000003
29,0.6092896580486428,1.8214546865874457,0.7955667038667862,2.9000000000000004
30,0.6516593376400308,1.7362285434057476,0.859754156380296,3.0
31,0.6880319059508695,1.6375948551150608,0.8956212479925242,3.1
32,0.7147762736505867,1.536632636458599,0.9145215608607018,3.2
33,0.729739588309169,1.4397282742375421,0.9250392675410513,3.3000000000000003
34,0.7344945054590183,1.3501943661637756,0.9317221966340781,3.4000000000000004
35,0.7352485428809015,1.2688163290163519,0.936783954434675,3.5
36,0.7404850081118813,1.1949308825258476,0.941324719035919,3.6
37,0.755498898354759,1.1280972528574407,0.945650846575148,3.7
38,0.778741274316611,1.0686947664057327,0.9499776618228734,3.8000000000000003
39,0.8041416784613307,1.0173846128359476,0.9554919591843434,3.9000000000000004
40,0.8267298980996404,0.9747437548651011,0.9642096309339494,4.0
41,0.8455922462046357,0.9414009577607305,0.9770302561859341,4.1000000000000005
42,0.8626091819133165,0.9178389862975892,0.9921345349309971,4.2
43,0.8800309144550753,0.9034365062835154,1.0059180715977043,4.3
44,0.8990691940523324,0.8957759447345467,1.015344038796094,4.4
45,0.919572853485767,0.8915336700139642,1.0191970552923966,4.5
46,0.9407594505694522,0.888464018780765,1.0180883510020087,4.6000000000000005
47,0.962051329341847,0.8866074411731933,1.014201679385365,4.7
48,0.9823371089401758,0.8878885135978245,1.0106541641615503,4.800000000000001
49,0.9984788774260885,0.8944890296772529,1.0103193031814481,4.9
50,1.0063050970224137,0.906897225353933,1.0147864652684921,5.0
51,1.0045066277548287,0.9230248216243034,1.0237632427154488,5.1000000000000005
52,0.9966892824725426,0.939302723922402,1.0349902926579746,5.2
53,0.9883828375365886,0.9528943436604485,1.0450759519308346,5.300000000000001
54,0.9829130367334455,0.9630241799831255,1.0510790009584874,5.4
55,0.9809186483505425,0.9703395058179123,1.051758427049623,5.5
56,0.9819045444432006,0.9752567290479939,1.0476386148921388,5.6000000000000005
57,0.9845019456651268,0.9774717863231029,1.0400830181674872,5.7
58,0.986321129005765,0.9771794095252903,1.030379477630337,5.800000000000001
59,0.9852722406743724,0.9758951419134982,1.0195682239627148,5.9
60,0.9809368483778736,0.9754386182172593,1.0087007479362649,6.0
61,0.974296263115526,0.9766340049143529,0.9989707147722928,6.1000000000000005
62,0.9669432205590461,0.979384896187902,0.9915481521602834,6.2
63,0.9609291353885746,0.9833670917871219,0.9871367057178903,6.300000000000001
64,0.9582045461833264,0.9882149440618557,0.9856544176140394,6.4
65,0.9591083386904804,0.9935451365030036,0.9865721581203768,6.5
66,0.9618755936399157,0.9991028614213181,0.9895516930760044,6.6000000000000005
67,0.9644025686327823,1.0044727444557027,0.9942794023613651,6.7
68,0.9663155911741553,1.008625525837382,0.999584338947599,6.800000000000001
69,0.9688308295861183,1.0103035641141758,1.0033342333276607,6.9
70,0.9725910788929844,1.0090646042129874,1.0036637799477048,7.0
71,0.9763145684151304,1.005667815195509,1.0001815834171397,7.1000000000000005
72,0.9779295166295916,1.0013262572675983,0.9939438560549254,7.2
73,0.9764174709474204,0.9968515811508624,0.9866141127763614,7.300000000000001
74,0.9720348269358324,0.9926925800452705,0.9798473491571534,7.4
75,0.965504659055114,0.9895356401083402,0.9750390631133761,7.5
76,0.9578872030068689,0.9883479067023319,0.972914573720008,7.6000000000000005
77,0.9510656912295299,0.9895730690051999,0.9731730021525775,7.7
78,0.9475829858275643,0.9924919378679151,0.974844528998744,7.800000000000001
79,0.9494662795434208,0.9956880186044783,0.9771116796461667,7.9
80,0.9567701175865635,0.9980981807785495,0.9796634094299529,8.0
81,0.9671019239803318,0.9994462661377848,0.9824512467194917,8.1
82,0.9768385731970719,0.9998736410083461,0.9854481139770972,8.200000000000001
83,0.9831287576311625,0.9994908740381268,0.9886856634263769,8.3
84,0.9851789435181109,0.9982602566584915,0.9923697594200663,8.4
85,0.9842440194508794,0.9961967703133652,0.9968204683810974,8.5
86,0.9825614652889392,0.9936891683522021,1.002096112265081,8.6
87,0.9819460901612937,0.9915031488465489,1.0074693730168236,8.700000000000001
88,0.9830280874419419,0.9902555377268858,1.0115197508456688,8.8
89,0.985546916927887,0.9899264487233667,1.013312029744277,8.9
90,0.9887859597962172,0.9900252201418432,1.0135723846541207,9.0
91,0.9915607431523464,0.9901617726239583,1.0142160450080562,9.1
92,0.9926171855128484,0.9902553395827859,1.0164956127844047,9.200000000000001
93,0.9917909615542896,0.9902659877983261,1.0199051221274749,9.3
94,0.9906511104459891,0.9900906389184498,1.022807276674931,9.4
95,0.9915699079172624,0.9898465849744386,1.0237093111094526,9.5
96,0.9958052461441776,0.9899904442438878,1.0221101198929692,9.600000000000001
97,1.002369142631165,0.9910066208804874,1.018766007685613,9.700000000000001
98,1.0089006306723591,0.9929822380465518,1.0152301944423483,9.8
99,1.0135507772948875,0.9953421098811223,1.0127655636629056,9.9
100,1.0157983694423844,0.9969852388619463,1.0116604609715865,10.0
