,Li-Li,Li-Zn,Zn-Zn,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,9.41797268150154e-08,0.0,0.0,0.4
5,6.943767779270926e-07,0.0,0.0,0.5
6,4.541598195246282e-06,0.0,0.0,0.6000000000000001
7,2.3329386911164555e-05,0.0,0.0,0.7000000000000001
8,9.954639120608349e-05,5.959810837512695e-07,0.0,0.8
9,0.00036554700826860317,5.153311759279578e-06,0.0,0.9
10,0.001177536351118946,3.459081714456387e-05,0.0,1.0
11,0.003349131229611476,0.0001805869211395579,2.282227839827576e-06,1.1
12,0.008433325397881783,0.0007729121360407784,2.5867118270600743e-05,1.2000000000000002
13,0.018903083928973947,0.0028038284798227206,0.00018519611318078955,1.3
14,0.03811606254051628,0.008779540271739852,0.0009654363195827421,1.4000000000000001
15,0.07008141110016215,0.023954537736760092,0.004052658216616309,1.5
16,0.11901752442381235,0.05720767161807516,0.014021349453156477,1.6
17,0.18848265671645104,0.12013320746534158,0.040472538056269915,1.7000000000000002
18,0.28006416838474024,0.22335483137021545,0.09837679793611798,1.8
19,0.3923792380182711,0.3712977731781759,0.20350054470615614,1.9000000000000001
20,0.5210554539628298,0.5584410160361605,0.3627924306883141,2.0
21,0.6591983136166473,0.7690927980199116,0.5658977059912995,2.1
22,0.797644531742431,0.980360019694956,0.7854293330835859,2.2
23,0.9258578873813674,1.1673162182678907,0.9867092281482055,2.3000000000000003
24,1.0343789371510188,1.3095944233158352,1.1401374776963187,2.4000000000000004
25,1.1174491164968952,1.3972649993430575,1.2296450727768664,2.5
26,1.1737651314268729,1.432598058665588,1.25521354073673,2.6
27,1.2054067892603484,1.4264470580700284,1.2302564867824712,2.7
28,1.2162486418149132,1.3920339859357038,1.175598399827029,2.8000000000000003
29,1.2105865407010927,1.3405156062331203,1.1123132688032231,2.9000000000000004
30,1.1923380401544403,1.2801095148249542,1.0556394156349953,3.0
31,1.1651534324458017,1.216975438560664,1.0120694263522785,3.1
32,1.1329480099925875,1.1557025072104767,0.9804999618910167,3.2
33,1.0997127431415512,1.0991612359064755,0.9562247036742485,3.3000000000000003
34,1.0684023463375145,1.04845886179137,0.9354569547338641,3.4000000000000004
35,1.040124016275118,1.003755574661373,0.918238177518835,3.5
36,1.0146459551677167,0.9657608034449853,0.9076879693300693,3.6
37,0.9917537165050305,0.9364345615922475,0.9056323835272921,3.7
38,0.9721333863122837,0.9177321890653276,0.909143224350505,3.8000000000000003
39,0.9571140485868175,0.9095733212497102,0.9128684904663263,3.9000000000000004
40,0.947718981950396,0.9094847628245075,0.9146722627036327,4.0
41,0.9440408631412666,0.9144036543427505,0.9179935940212702,4.1000000000000005
42,0.94532021249236,0.9223904021096258,0.9288661999754763,4.2
43,0.9502151795548855,0.9325270690046219,0.9506525010157533,4.3
44,0.9570567209975663,0.9439656897172108,0.9804220020030893,4.4
45,0.9644250845095969,0.9558043908334553,1.0099721704157107,4.5
46,0.9716862331378047,0.9676190367414348,1.0309404191844709,4.6000000000000005
47,0.9787538585078279,0.9794894594478363,1.039481026973243,4.7
48,0.9853980423493104,0.9913465614698234,1.0366808968756986,4.800000000000001
49,0.9910935601391409,1.002439791820677,1.0258730999192514,4.9
50,0.995498030644522,1.0115602540375304,1.0105654199482696,5.0
51,0.9987580874886518,1.0178645679300249,0.9940384332485641,5.1000000000000005
52,1.0012854797488808,1.0215136502684006,0.9788510610234818,5.2
53,1.003469814680711,1.0234356967274776,0.9660161289673432,5.300000000000001
54,1.0056259145942577,1.0243473226687676,0.9557836256080193,5.4
55,1.0078824007861265,1.0241500775619037,0.9494037764113412,5.5
56,1.0099370822772633,1.022564427504277,0.9486494267606776,5.6000000000000005
57,1.0110599350553966,1.0201376582926682,0.9530975407706106,5.7
58,1.0105680508154655,1.0180458336214075,0.9592272641788594,5.800000000000001
59,1.0084466340476845,1.016848635457957,0.9632023242730645,5.9
60,1.0055050682660314,1.0159382449828576,0.9639521614446221,6.0
61,1.0027786861128223,1.0143410671561606,0.9629912810293828,6.1000000000000005
62,1.0007007200028173,1.0117202384813178,0.9619840122287688,6.2
63,0.9989517304265064,1.0085668813037496,0.9614624630421561,6.300000000000001
64,0.9971346608955903,1.0056688087232006,0.9613469342480733,6.4
65,0.9954091852011053,1.0034896541783869,0.961463708065326,6.5
66,0.9942928256329788,1.0019907895774072,0.9613860862880884,6.6000000000000005
67,0.9939308414796676,1.0009173408396554,0.9605797591110775,6.7
68,0.9938078645169979,1.000117236175062,0.959037707723923,6.800000000000001
69,0.9932792085395097,0.9996032143114191,0.9575457830931965,6.9
70,0.9922573678933881,0.9994227025241311,0.9574679669319831,7.0
71,0.9912604361633565,0.9994639759207508,0.9601047450327006,7.1000000000000005
72,0.9908863150042977,0.9993779690364663,0.9652808252606636,7.2
73,0.9913533385974876,0.998793972989023,0.9703148536371138,7.300000000000001
74,0.9924850589674963,0.9976750881779107,0.9718082088613089,7.4
75,0.9939469113168102,0.9964695982942171,0.9693944359310004,7.5
76,0.9953940785376492,0.995872928381157,0.9667780741592951,7.6000000000000005
77,0.9964783051183154,0.9962761549967422,0.9682691393825267,7.7
78,0.9969434988796766,0.9974249130754942,0.9749612477395735,7.800000000000001
79,0.9968774646397353,0.9988212586914618,0.9845140111828866,7.9
80,0.9967772146379362,1.0004269373198407,0.9933431168052833,8.0
81,0.997188845169312,1.0026341510269001,0.9984106738590564,8.1
82,0.9982421858401129,1.0055480780990371,0.9981775836776321,8.200000000000001
