,Li-Li,Li-In,Li-Si,In-In,In-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,6.947813311871202e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,6.2453666447907765e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,3.782498677407596e-05,0.0,7.979129350352083e-07,0.0,0.0,0.0,0.8
9,0.00017910606083351198,2.3560058981431753e-07,5.674247102764941e-06,0.0,0.0,0.0,0.9
10,0.0006881082696462603,2.0616836028618972e-06,3.2858263670075834e-05,0.0,0.0,0.0,1.0
11,0.0021979144457823442,1.4057058849700958e-05,0.00015297504163839243,0.0,5.658329954820313e-07,1.1316659909640626e-05,1.1
12,0.00597325373584255,7.504493373085318e-05,0.0005950650924638358,0.0,4.200358894275426e-06,0.000122817663045621,1.2000000000000002
13,0.014128180144835084,0.0003305415279476884,0.0020067284309697934,4.6318755412474686e-07,2.762601541883237e-05,0.0008185657135934916,1.3
14,0.02971595744021615,0.001243909252637642,0.006066708833345383,3.86443544671085e-06,0.00014203600371276575,0.004070400825206272,1.4000000000000001
15,0.05661898061299661,0.004073336774936526,0.016752839937414384,2.6634747179987145e-05,0.0006199475660602528,0.016313700099246594,1.5
16,0.09914717819707337,0.011730183052859514,0.04214043007386525,0.0001370251040667042,0.0023202536627155482,0.05364072155875656,1.6
17,0.16130641581169305,0.029868331528396144,0.09540288329703833,0.0005850675528561522,0.007639584494000889,0.146436486988374,1.7000000000000002
18,0.24571089474800373,0.06751117852813662,0.19247091453861534,0.0021185578816830227,0.02219580194993672,0.33524763064505486,1.8
19,0.3521259723121772,0.13606158672114096,0.3451335624845959,0.0066297986728950115,0.05665416516446955,0.650693104291289,1.9000000000000001
20,0.47614028230903316,0.24584586949244114,0.5525260618876305,0.018155376153192036,0.12645088663269133,1.084268308605098,2.0
21,0.609177966596591,0.40087488580707087,0.797013723970246,0.043910898003698136,0.2466585590944927,1.573780566425161,2.1
22,0.7405488546998337,0.5944615234850902,1.0481319815838337,0.09443049082336577,0.4224043329514259,2.0223329738627034,2.2
23,0.8605948331312576,0.8089084466733701,1.2723973779827855,0.18137459555073324,0.6407490868973185,2.340287059673084,2.3000000000000003
24,0.9631127320554103,1.0201447384460707,1.4432909775577938,0.31209585380089533,0.8709399351387976,2.4780701345040983,2.4000000000000004
25,1.0456790125439235,1.2046620610693433,1.5470397936007623,0.4826363397742716,1.0742758862765367,2.4313794200504386,2.5
26,1.1079824225032904,1.345162106234464,1.5833475721161618,0.6743791844544393,1.2185605300690325,2.230450537749597,2.6
27,1.150107998026002,1.4335049304810872,1.5627251547862249,0.8591270771672316,1.2898348191950795,1.9308082349506217,2.7
28,1.1725865596406295,1.471187313111388,1.502006241525786,1.0105369510164708,1.295096157979109,1.602233189616107,2.8000000000000003
29,1.177399556251459,1.467264867871045,1.419106221881011,1.1137296110755892,1.2546670438263876,1.3072759034540131,2.9000000000000004
30,1.1680289944511157,1.4342466774804603,1.3285977874083688,1.1673955742834392,1.190342814466699,1.0805148198357444,3.0
31,1.1485592325822398,1.384072316551603,1.2397759514821363,1.1798126821685533,1.1175332107202784,0.9257197901536897,3.1
32,1.1230010098995655,1.3258051371009396,1.1574703374270507,1.1627951986082457,1.0443264760485695,0.8286671872923959,3.2
33,1.0949590146201245,1.2651145040933587,1.0840851347269498,1.1266022378568368,0.9747479204667514,0.7711474087376495,3.3000000000000003
34,1.0671718883816177,1.2052471599349368,1.0210170531220386,1.0783488984182006,0.9121064662409952,0.7390687157389152,3.4000000000000004
35,1.041185390392555,1.1485744943944924,0.9692636663209452,1.024086416169342,0.8603457249504818,0.7256462308028148,3.5
36,1.017640425020335,1.097139405269162,0.9298602396742783,0.9705234040607629,0.8232857330444253,0.7300443678116411,3.6
37,0.9968302939311723,1.0520466258763952,0.903676281500261,0.9233592624168965,0.8028865461283029,0.7519402591410967,3.7
38,0.9788179954793962,1.0132643134982333,0.8900336871579371,0.8848049628779219,0.798377453736594,0.7860641710692863,3.8000000000000003
39,0.963336163181272,0.9806560859977821,0.885913958116917,0.8541849119125532,0.8070956999271799,0.8218555817439468,3.9000000000000004
40,0.9501507843420083,0.9550295620174498,0.8878203412098842,0.8306046442043344,0.8257167655455381,0.848966554737137,4.0
41,0.9396396877968546,0.9377378090621802,0.8945717620597841,0.8141475671262843,0.8508148502301002,0.8634483709562425,4.1000000000000005
42,0.9328012107630373,0.9291921142697057,0.9071202351955415,0.8053502373892767,0.8794854179263268,0.8684793904167207,4.2
43,0.9306213671042365,0.9281405280928188,0.9254899244725224,0.8046933251745475,0.9102072931394881,0.8699287266366638,4.3
44,0.9333988909949857,0.9325433073453397,0.9470601169667837,0.8121234991320316,0.9426915267455088,0.8721462707118505,4.4
45,0.9404675989094475,0.9407790782155647,0.9681145916576704,0.8265199178199822,0.9767555752809249,0.8770592650374831,4.5
46,0.9504380512765079,0.9518387546422474,0.9859506539387203,0.8465982230573568,1.011659270745063,0.8849662920590611,4.6000000000000005
47,0.9617786384651508,0.9647830576601784,0.9994106599620443,0.872561531737392,1.0459401135636353,0.8947906563780192,4.7
48,0.9732802399397221,0.9783550257531045,1.0087420196871373,0.9050090740971396,1.0770159857538861,0.9037616978886168,4.800000000000001
49,0.984101693187706,0.9910763558698622,1.015414646286096,0.9413838408272043,1.1014600294204833,0.9076304748998856,4.9
50,0.9936076713631209,1.0017544354626098,1.021079236828231,0.9752666129668329,1.1171975513690398,0.9024702206155706,5.0
51,1.00131278825523,1.0099893295279183,1.025995090850717,1.0002351402529532,1.1257827009936523,0.8874817765168105,5.1000000000000005
52,1.006901304533773,1.016046370547975,1.028699914320021,1.0133937031896558,1.131042951712999,0.8661372825001009,5.2
53,1.0102818667969335,1.020172839134631,1.027645141761883,1.0153320045584033,1.1345122817551694,0.843849211921678,5.300000000000001
54,1.011764666999697,1.022254583617331,1.02314086089917,1.0088161508897526,1.1333786843762481,0.8246948736205686,5.4
55,1.012120832298428,1.0222753688831814,1.0175070866167994,0.998446322707302,1.1242073529094456,0.8105752760311024,5.5
56,1.0121013725734784,1.020899606947141,1.0133959688816787,0.9900270772352091,1.1078927008884192,0.802091738047612,5.6000000000000005
57,1.0118294734967552,1.0193284007716583,1.0119960570006368,0.9882393387716342,1.0895270850293632,0.7984275596430627,5.7
58,1.0109396544754574,1.0185187168078758,1.0125085253135457,0.9939422057912546,1.073935708058315,0.7970054961793833,5.800000000000001
59,1.009272435767176,1.0185957565554056,1.013021357979875,1.0037103868490962,1.0626626175550031,0.7955784043379607,5.9
