,Li-Li,Li-Ga,Ga-Ga,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,2.832140668466287e-07,0.0,0.0,0.6000000000000001
7,2.5869204635991373e-06,0.0,0.0,0.7000000000000001
8,1.5614466191080565e-05,0.0,0.0,0.8
9,7.636441121670945e-05,8.403323955743396e-08,0.0,0.9
10,0.0003060984820499686,2.2719437754292232e-06,0.0,1.0
11,0.001037219370339278,2.2097326543559142e-05,2.1191041449060944e-06,1.1
12,0.003064675498146066,0.0001430196671856944,2.274325511637061e-05,1.2000000000000002
13,0.008061349896082114,0.0007142917588717193,0.000157670065019055,1.3
14,0.01907601875880366,0.0029141065552469713,0.0008405361807353064,1.4000000000000001
15,0.040685530836191704,0.00992063525247946,0.0036089951116923414,1.5
16,0.07826303172464237,0.02859188659239384,0.012897415274809509,1.6
17,0.13647342045315983,0.07060768862485141,0.03904250940210954,1.7000000000000002
18,0.21796741163444153,0.15120110664853229,0.10092721842808217,1.8
19,0.3227962685505446,0.28412658894756704,0.22380083060742856,1.9000000000000001
20,0.44778132133022597,0.4739789389988389,0.42710247958821046,2.0
21,0.5854298228066747,0.7097504385199576,0.7046660727998073,2.1
22,0.7240763237902901,0.9641305765596881,1.0130618522700678,2.2
23,0.8509996579136941,1.2004550418394402,1.2852879065115081,2.3000000000000003
24,0.9569726504471808,1.3847853472596054,1.4649516201848491,2.4000000000000004
25,1.0384803359598425,1.497199330350227,1.5330759941388754,2.5
26,1.096456338795783,1.5366064077759838,1.507341330574433,2.6
27,1.1339349794817837,1.5174150625689236,1.4221132722184104,2.7
28,1.1545813931030737,1.4613040999315343,1.3102021681107672,2.8000000000000003
29,1.161706898304901,1.3890910960026845,1.1955204006918037,2.9000000000000004
30,1.1574382194271597,1.31567426689155,1.0925014828121564,3.0
31,1.1429565735039395,1.248394475231528,1.0072586172638478,3.1
32,1.120062844164321,1.1883549157762499,0.9398908927047515,3.2
33,1.0922738192356627,1.133917076527751,0.8880020113532185,3.3000000000000003
34,1.063808438427061,1.0842383763453054,0.8496172687169669,3.4000000000000004
35,1.0374342882298249,1.0403038910293223,0.8237548850990205,3.5
36,1.0136607561872955,1.0035876547835287,0.8090576729498256,3.6
37,0.9920528257600597,0.9748052960608908,0.8029991286131671,3.7
38,0.9729437430490653,0.954004263780486,0.8032891774696989,3.8000000000000003
39,0.9576842099277375,0.9409651744207503,0.8095757013736365,3.9000000000000004
40,0.9476000929521367,0.9351649241949372,0.8226567237377309,4.0
41,0.9430712351597681,0.9358554144201865,0.8421824681924945,4.1000000000000005
42,0.9434974497132739,0.9423901973117048,0.8660567294795088,4.2
43,0.9478476275689982,0.9539858446363774,0.891889055243585,4.3
44,0.9551317490755095,0.9689182720322939,0.9178958860322135,4.4
45,0.9643675411608037,0.9842502990429283,0.9422090337941813,4.5
46,0.9743333005357369,0.99677785042017,0.9625513893970505,4.6000000000000005
47,0.983665893872735,1.0045944804772862,0.9773524214244523,4.7
48,0.9913919027135897,1.008053737581453,0.9867020395407561,4.800000000000001
49,0.997395169713624,1.0092701674527056,0.9918218345897188,4.9
50,1.0023399277540057,1.0103856576124144,0.9941000186685217,5.0
51,1.006951946359082,1.0119697173887625,0.9951402820748916,5.1000000000000005
52,1.0111494494488071,1.0129550825413334,0.9972091329040241,5.2
53,1.0139389583466638,1.012066794676797,1.0023786768811014,5.300000000000001
54,1.014401267122493,1.009271335977128,1.0105930635876725,5.4
55,1.0127091791434444,1.00587368963834,1.0191462679769092,5.5
56,1.0100317739255558,1.0034337746715116,1.0247963759192371,5.6000000000000005
57,1.007627551915147,1.0026757572972558,1.0262508970902968,5.7
58,1.0061543805921402,1.0031096421197605,1.024236466493638,5.800000000000001
59,1.0055343713883234,1.003425518701595,1.0196792332691293,5.9
60,1.0051010510276333,1.0024826536116906,1.0127878106589598,6.0
61,1.0039372676559541,1.0002511454654481,1.0041774641287993,6.1000000000000005
62,1.001416458012404,0.9978196752897946,0.9961527996276441,6.2
63,0.9976266661013357,0.9964068490188909,0.9917295360153002,6.300000000000001
64,0.9933740510900638,0.9963933291764325,0.9919041114439674,6.4
65,0.9898428981629305,0.9972237452641677,0.9943849807468378,6.5
66,0.9881236443357325,0.9979972890107823,0.9955632646335868,6.6000000000000005
67,0.9886973231766165,0.9980906595266024,0.9934668483424473,6.7
68,0.9910779561517414,0.9974232708139443,0.9884154991801926,6.800000000000001
69,0.9939800565723347,0.9963707596768289,0.981596956016464,6.9
70,0.996067171262046,0.9955060154945703,0.9742286008270225,7.0
71,0.9967161628809376,0.9952828379919146,0.9677825828926692,7.1000000000000005
72,0.9961069959020923,0.995772080269637,0.9637154068087188,7.2
73,0.9947089843961265,0.9966288810460929,0.9626217744885989,7.300000000000001
74,0.99296748492207,0.9974159096652291,0.9639577587284186,7.4
75,0.9914714446794597,0.9980691635843353,0.9664561687616188,7.5
76,0.9909047801749897,0.9990157660864287,0.9687944617409857,7.6000000000000005
77,0.9914953895160201,1.0007117542099069,0.9704495692648144,7.7
78,0.992772428281442,1.0029964960627367,0.9721772349701217,7.800000000000001
79,0.9940594355775344,1.004992997338326,0.9751180995064125,7.9
80,0.9949825319741308,1.0057876717558003,0.9791485302164685,8.0
81,0.9954661650146058,1.00519115029243,0.9826005006296227,8.1
82,0.9955770085875119,1.0037480518026407,0.9838046779896426,8.200000000000001
83,0.9954871558850842,1.0020984146422494,0.982446401670268,8.3
84,0.9953858638775815,1.0005425592191528,0.9793398460144505,8.4
85,0.9953311886933907,0.9991860623315686,0.975526742661581,8.5
86,0.9952373094641733,0.9982015309810635,0.9717791575584852,8.6
87,0.99495049519561,0.9977935409494879,0.9683232307289528,8.700000000000001
88,0.9942822186963806,0.998034071214927,0.9647724398966104,8.8
89,0.9931573718439276,0.9988241336517237,0.9607765675358857,8.9
90,0.9919260662844395,0.9999728632163412,0.9568925795416523,9.0
91,0.9913384432391119,1.0012153054511839,0.9544524294672612,9.1
92,0.9919090302698913,1.0021445377985758,0.9544977332047371,9.200000000000001
93,0.9933670403689607,1.0022996106002964,0.9571189841390171,9.3
94,0.9949093459812247,1.0015187333726125,0.961686811530517,9.4
95,0.9958971337012253,1.0002222985841325,0.9672178325128019,9.5
96,0.9962151556051434,0.999240246876282,0.9725023105849994,9.600000000000001
97,0.9961434056460475,0.9992623269616778,0.9763515803899369,9.700000000000001
98,0.9960578512316874,1.0003614334141866,0.9781084422155876,9.8
99,0.9961477597055898,1.0019287729544422,0.9781019664531072,9.9
100,0.9962992702066219,1.0030449094986467,0.9775323521653655,10.0
