,Li-Li,Li-Ti,Ti-Ti,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,1.261514479314842e-07,0.0,0.4
5,1.7198398581901756e-06,9.301007648658369e-07,0.0,0.5
6,1.1214764631192326e-05,5.619946574459722e-06,0.0,0.6000000000000001
7,6.341222833463293e-05,2.6451097106054813e-05,0.0,0.7000000000000001
8,0.0002804289155605036,0.00010279248777866688,4.2576113676875923e-07,0.8
9,0.0010205216057030723,0.0003387959257769079,9.87920534313837e-06,0.9
10,0.0031773737025365036,0.0009733567586468684,9.921453800946909e-05,1.0
11,0.008771635002524323,0.0024748293007669374,0.0006233839833986131,1.1
12,0.02206477266861707,0.005606761179010567,0.002987749057959617,1.2000000000000002
13,0.05102098665318305,0.011352033903428886,0.01159554304551473,1.3
14,0.10803920706463423,0.020659496594954432,0.03692679779726374,1.4000000000000001
15,0.20805078758486933,0.03424878841647719,0.0969975565193947,1.5
16,0.3629113693132929,0.0529044011836512,0.21124505815172642,1.6
17,0.5734255440056394,0.0783855223731767,0.384141743907134,1.7000000000000002
18,0.8237327701549569,0.11434146023917355,0.5893740508210368,1.8
19,1.0838039802790813,0.16604474309399747,0.7752141950709144,1.9000000000000001
20,1.3207498012848191,0.2381705169940255,0.8960417349277672,2.0
21,1.511357441429425,0.3315120536815206,0.9443072550069338,2.1
22,1.6469035781848338,0.4409933845175878,0.9525556931908367,2.2
23,1.7298218836906616,0.5566080387931139,0.966756130655002,2.3000000000000003
24,1.7687054574035284,0.6665704535607929,1.0185034235017405,2.4000000000000004
25,1.7749785447778144,0.7607112164494572,1.1152223313361738,2.5
26,1.759555962069495,0.832725565576673,1.2451592211853724,2.6
27,1.729805819934539,0.8807757942194441,1.3860595259674533,2.7
28,1.6895129172585597,0.906655915155035,1.5123331987088806,2.8000000000000003
29,1.6410608244387839,0.9143118931769039,1.6012519625025676,2.9000000000000004
30,1.5867064688716097,0.9085729155069528,1.6387094813753262,3.0
31,1.5288917227475176,0.8944374592399942,1.6224155176965864,3.1
32,1.4710502708759607,0.876675344988232,1.5604436239322368,3.2
33,1.4172955466044004,0.8594104507130302,1.4667517022820755,3.3000000000000003
34,1.3700247589053753,0.8455640240793332,1.3573204955134244,3.4000000000000004
35,1.3285179919733952,0.8362109406195342,1.2476307087632632,3.5
36,1.2906794644671788,0.8303936350662805,1.149645150778277,3.6
37,1.255526590766117,0.8261967467172595,1.0690270057674498,3.7
38,1.223739981234474,0.82263052089903,1.0055598094481388,3.8000000000000003
39,1.1966700936190142,0.8204326928331602,0.9568077788322884,3.9000000000000004
40,1.1753159213545505,0.8209332606834974,0.9213763263763525,4.0
41,1.1594991828233465,0.82457219728894,0.8992694043807052,4.1000000000000005
42,1.1471601176161865,0.8308359904225749,0.8904344912795062,4.2
43,1.1349545764453957,0.8392399713840241,0.8936770247821636,4.3
44,1.1203386559929254,0.849905347273385,0.9067365851988314,4.4
45,1.1029887881067746,0.8632910445147077,0.926969804789417,4.5
46,1.0844062294457444,0.879668693051576,0.9517628652464892,4.6000000000000005
47,1.0670401904837208,0.8988435231733456,0.9783225755680038,4.7
48,1.0536873060565277,0.9201415307348425,1.003459698403143,4.800000000000001
49,1.0463943677400143,0.9424955883436915,1.0242310616043617,4.9
50,1.0451087034290958,0.964486262061173,1.0392823992439362,5.0
51,1.0472678137540479,0.9844624566350891,1.0495090113438201,5.1000000000000005
52,1.048857379550221,1.0009662313766716,1.0570881176306057,5.2
53,1.0465398064240863,1.013282781738391,1.0635854885831229,5.300000000000001
54,1.039589955474686,1.0215915189745612,1.0686354676145513,5.4
55,1.0299627748973588,1.0265314944558899,1.0701991649501386,5.5
56,1.0202992879270212,1.0286240252432426,1.0661909638301195,5.6000000000000005
57,1.0119049409903687,1.0281348028871138,1.0560960157153731,5.7
58,1.0044829649461442,1.025458807112188,1.0413185661860973,5.800000000000001
59,0.9971019061762976,1.021547536720088,1.0243622684041493,5.9
60,0.9889455939443376,1.0177849002017074,1.007816710203397,6.0
61,0.9795053409358249,1.0153142105152124,0.9936054274557181,6.1000000000000005
62,0.9686744981894974,1.0145303189734534,0.9824488307943613,6.2
63,0.9568355683936071,1.015260693625896,0.9738155001169657,6.300000000000001
64,0.9448216882948222,1.0172127178443944,0.9666492310634882,6.4
65,0.9337204316680952,1.020094199870406,0.9603241927549021,6.5
66,0.9244106348051844,1.0234862774509998,0.9549674151778387,6.6000000000000005
67,0.9170674809616939,1.0268608177729204,0.9511037984719742,6.7
68,0.9113254798892263,1.0298469850917942,0.9491305485977737,6.800000000000001
69,0.906908342481634,1.0326054477433475,0.9489327986599073,6.9
70,0.9037307724187186,1.0359392466106967,0.949856481823556,7.0
71,0.9014283244496712,1.0408257988385219,0.9512368893642194,7.1000000000000005
72,0.8992948029446836,1.0476637116521692,0.952998054234852,7.2
73,0.8968450180650231,1.0559162447588468,0.9554911168868216,7.300000000000001
74,0.8941745226970143,1.0643582372978444,0.9587734610568751,7.4
75,0.8916050948016552,1.0715752500358346,0.9624323833966669,7.5
76,0.8890307409376575,1.0764121387106718,0.9661096016799452,7.6000000000000005
77,0.8858007258154976,1.0783542401664035,0.9697344922318797,7.7
78,0.8814770901821187,1.0777808757574194,0.9731070895847991,7.800000000000001
79,0.8767460981596705,1.0758449621183404,0.9756025372165625,7.9
80,0.8733163236123996,1.0738880812549918,0.9764470819902802,8.0
81,0.8726211235391147,1.0727292949197524,0.9751347915468641,8.1
