"Unnamed: 0" formula diff_coeff_mul_thousand temperature AAV LBI SDLI SBI ENS RBI AFC AASD VPA LASD LLSD LNC SDLC LLB SNC RNC PF SPF SLPW SLPW_pp SLPE Li_percentage avg_B_with_Li avg_B_wiout_Li avg_G_with_Li avg_G_wiout_Li avg_Ecoh_with_Li avg_Echo_wiout_Li BR5_M_with_Li BR5_M_without_Li GR5_M_with_Li GR5_M_without_Li ER2_m_with_Li ER2_m_without_Li atomic_radius_avg atomic_radius_avg_exclude_Li ratio_r_without_Li_with avg_m_with_Li avg_m_wiout_Li avg_X_with_Li avg_X_wiout_Li avg_diff_of_X_Li_rest
10 Cs4Li108Sn23 1.7785917 2500 23.1073660816 0.1999334996 0.3905138334 0.8658503401000001 1.7866666667 0.2309099972 2.5652173913 4.1223309163 135.6301922178 2.9564777341 2.3887260172 11.1481481481 1.620555545 8.6666666667 10.8888888889 1.0238095238 0.4650965813 0.1609674227 0.0226203351 1.4136205137 1.2890740741 0.8 17.733333333333334 32.66666666666667 6.777777777777778 17.888888888888893 1.8443677325185188 2.7954746225925935 2.0727327067143033 1.7379258994522773 1.2814208154549285 1.286087532528878 0.3697332446348212 0.2464819845778935 1.4840740740740739 1.6203703703703702 1.0918392812577988 29.715405982222222 120.81302991111113 1.1413333333333333 1.7866666666666668 0.6453333333333335
11 K2LiAlP2 0.0608551 1000 29.3133722409 0.6318285714 0.5070171719000001 0.7654973118 1.526 0.8253831355 3.8823529412 3.7096875298 87.9401167226 2.3660086769 3.1454307367 10.3529411765 1.4927738283 2.0 8.7529411765 1.1827956989 0.5489540173 0.4990079285 -0.3788329188 1.1117637395 1.1270588235 0.16666666666666666 24.5 26.6 9.0 10.0 2.3031700799999997 2.4424858939999994 2.6033120038568085 2.5830500808579604 1.5778453469755618 1.583769620433837 0.42733746642138865 0.4135908232267173 1.5166666666666666 1.5299999999999998 1.0087912087912088 29.011110433333336 33.425132520000005 1.435 1.526 0.09099999999999997
12 K2LiAlP2 0.2081837 1500 30.568331182 0.6519736842 0.486793196 0.7648 1.526 0.8524760515 4.3823529412 3.951180161 91.7049935459 2.3792937576 3.6213531514 9.0 2.6121886248 1.1764705882 8.5294117647 1.0551724138 0.5264171392 0.4785215481 -0.3473974481 1.0181764265 1.2882352941 0.16666666666666666 24.5 26.6 9.0 10.0 2.3031700799999997 2.4424858939999994 2.6033120038568085 2.5830500808579604 1.5778453469755618 1.583769620433837 0.42733746642138865 0.4135908232267173 1.5166666666666666 1.5299999999999998 1.0087912087912088 29.011110433333336 33.425132520000005 1.435 1.526 0.09099999999999997
13 K2LiAlP2 0.6432055999999999 2000 31.8641690742 0.6446938776000001 0.4948214233 0.7724700599000001 1.526 0.8345875278 3.6176470588 3.8325526612 95.5925072227 2.3018713599 3.2493905025 8.7058823529 1.48580364 1.5294117647 7.8588235294 1.1077844311 0.5050090405000001 0.459061246 -0.4708922983 0.8460898913 1.4305882353 0.16666666666666666 24.5 26.6 9.0 10.0 2.3031700799999997 2.4424858939999994 2.6033120038568085 2.5830500808579604 1.5778453469755618 1.583769620433837 0.42733746642138865 0.4135908232267173 1.5166666666666666 1.5299999999999998 1.0087912087912088 29.011110433333336 33.425132520000005 1.435 1.526 0.09099999999999997
14 K2LiAlP2 1.2313811 2500 33.5713730611 0.6174468085 0.5206251113 0.7693831169 1.526 0.8025219100000001 2.4117647059 3.3011180119 100.7141191833 2.4887425358 3.0890685302 8.3529411765 1.8768301334 1.7647058824 7.2470588235 1.1525974026 0.4793278316 0.4357166188 -0.135429482 1.2692851871 1.2229411765 0.16666666666666666 24.5 26.6 9.0 10.0 2.3031700799999997 2.4424858939999994 2.6033120038568085 2.5830500808579604 1.5778453469755618 1.583769620433837 0.42733746642138865 0.4135908232267173 1.5166666666666666 1.5299999999999998 1.0087912087912088 29.011110433333336 33.425132520000005 1.435 1.526 0.09099999999999997
15 KLi6TaO6 0.0253014 1000 11.3311841813 1.043975265 1.1698362951 1.2593859037 2.87 0.8289558125 3.375 4.9571837617 158.6365785385 2.9640550572 2.3215806741 23.6041666667 2.0076892121 10.5833333333 22.390625 1.0541986508 0.7284151431 0.396164038 0.1746865311 1.1885088489 1.81625 0.42857142857142855 22.714285714285715 29.250000000000004 6.999999999999999 9.249999999999998 2.815216100892857 3.7216849190624997 1.3062991732934184 0.6727522801880229 0.7251738415618523 0.3783233177080788 0.3781812570770756 0.2781570137245239 1.1392857142857142 0.9062500000000001 0.7954545454545456 25.549184285714286 39.505322500000005 2.0599999999999996 2.8699999999999997 0.81
16 KLi6TaO6 0.1603755 1500 11.7433014626 1.0422787194 1.1672420012 1.2497118763 2.87 0.8340152151 3.25 4.8316490901 164.4062204767 3.1083074495 2.271738034 22.1458333333 2.4831900126 9.75 22.234375 0.9960178028 0.7028522748 0.3822611294 0.0714588573 1.1037308906 1.71375 0.42857142857142855 22.714285714285715 29.250000000000004 6.999999999999999 9.249999999999998 2.815216100892857 3.7216849190624997 1.3062991732934184 0.6727522801880229 0.7251738415618523 0.3783233177080788 0.3781812570770756 0.2781570137245239 1.1392857142857142 0.9062500000000001 0.7954545454545456 25.549184285714286 39.505322500000005 2.0599999999999996 2.8699999999999997 0.81
17 KLi6TaO6 0.3867384 2000 12.2018255581 1.07839445 1.1731464868 1.245254491 2.87 0.866003261 3.125 4.8228741005 170.8255578136 3.1700213959 2.2698010902 21.0416666667 2.2634628093 8.875 20.875 1.0079840319 0.6764402677 0.3678963987 0.1436700161 1.1825901906 1.76125 0.42857142857142855 22.714285714285715 29.250000000000004 6.999999999999999 9.249999999999998 2.815216100892857 3.7216849190624997 1.3062991732934184 0.6727522801880229 0.7251738415618523 0.3783233177080788 0.3781812570770756 0.2781570137245239 1.1392857142857142 0.9062500000000001 0.7954545454545456 25.549184285714286 39.505322500000005 2.0599999999999996 2.8699999999999997 0.81
18 KLi6TaO6 0.6661412000000001 2500 12.6397877749 1.0519918284 1.171523851 1.2585202492 2.87 0.8358958301 2.0 4.1045761157 176.9570288492 3.1457020608 2.3257231503 20.4166666667 2.0497289794 8.9583333333 20.0625 1.0176531672 0.6530019565 0.3551489756 0.0612810495 1.0745481841 1.645 0.42857142857142855 22.714285714285715 29.250000000000004 6.999999999999999 9.249999999999998 2.815216100892857 3.7216849190624997 1.3062991732934184 0.6727522801880229 0.7251738415618523 0.3783233177080788 0.3781812570770756 0.2781570137245239 1.1392857142857142 0.9062500000000001 0.7954545454545456 25.549184285714286 39.505322500000005 2.0599999999999996 2.8699999999999997 0.81
19 KLi8Si 0.377309 1000 21.7073478033 0.1184158416 0.294324344 0.5872985782 1.36 0.2016280066 3.4 4.6208530699 217.0734780326 2.9628360418 2.4918481973 12.6375 1.8791204725 10.3 10.55 1.1978672986 0.5115593902 0.1878153811 0.2937794113 1.6366500737 1.042 0.8 19.900000000000002 43.500000000000014 9.3 30.50000000000001 1.8303211555000003 2.725241737500001 3.451032473489181 3.9795796796427148 2.359195776198512 3.3322877440990673 0.5754488875689551 0.46996896060175586 1.49 1.6500000000000008 1.107382550335571 12.271180000000001 33.59190000000001 1.056 1.3600000000000003 0.30400000000000027
