formula lnD PF RNC SBI SDLC RBI ENS SDLI SLPE LLB avg_diff_of_X_Li_rest ratio_r_without_Li_with SPF LNC AFC Li_percentage LBI avg_X_with_Li SNC avg_B_wiout_Li avg_G_wiout_Li avg_B_with_Li avg_X_wiout_Li avg_G_with_Li avg_Ecoh_with_Li avg_Echo_wiout_Li avg_m_wiout_Li avg_m_with_Li BR5_M_without_Li GR5_M_without_Li GR5_M_with_Li BR5_M_with_Li ER2_m_without_Li ER2_m_with_Li atomic_radius_avg_exclude_Li LASD SLPW LLSD atomic_radius_avg AASD SLPW_pp VPA AAV inverseTemp
Cs4Li108Sn23 -6.3319334076013245 0.4650965813 1.0238095238 0.8658503401000001 1.620555545 0.2309099972 1.7866666667 0.3905138334 1.2890740741 8.6666666667 0.6453333333333335 1.0918392812577988 0.1609674227 11.1481481481 2.5652173913 0.8 0.1999334996 1.1413333333333333 10.8888888889 32.66666666666667 17.888888888888893 17.733333333333334 1.7866666666666668 6.777777777777778 1.8443677325185188 2.795474622592593 120.81302991111112 29.715405982222222 1.7379258994522773 1.286087532528878 1.2814208154549285 2.0727327067143038 0.2464819845778935 0.3697332446348212 1.6203703703703702 2.9564777341 0.0226203351 2.3887260172 1.484074074074074 4.1223309163 1.4136205137 135.6301922178 23.1073660816 0.4
K2LiAlP2 -9.707014929388755 0.5489540173 1.1827956989 0.7654973118 1.4927738283 0.8253831355 1.526 0.5070171719000001 1.1270588235 2.0 0.0909999999999999 1.0087912087912088 0.4990079285 10.3529411765 3.8823529412 0.1666666666666666 0.6318285714 1.435 8.7529411765 26.6 10.0 24.5 1.526 9.0 2.30317008 2.4424858939999994 33.425132520000005 29.011110433333336 2.5830500808579604 1.583769620433837 1.5778453469755618 2.6033120038568085 0.4135908232267173 0.4273374664213886 1.5299999999999998 2.3660086769 -0.3788329188 3.1454307367 1.5166666666666666 3.7096875298 1.1117637395 87.9401167226 29.3133722409 1.0
K2LiAlP2 -8.477089694953904 0.5264171392 1.0551724138 0.7648 2.6121886248 0.8524760515 1.526 0.486793196 1.2882352941 1.1764705882 0.0909999999999999 1.0087912087912088 0.4785215481 9.0 4.3823529412 0.1666666666666666 0.6519736842 1.435 8.5294117647 26.6 10.0 24.5 1.526 9.0 2.30317008 2.4424858939999994 33.425132520000005 29.011110433333336 2.5830500808579604 1.583769620433837 1.5778453469755618 2.6033120038568085 0.4135908232267173 0.4273374664213886 1.5299999999999998 2.3792937576 -0.3473974481 3.6213531514 1.5166666666666666 3.951180161 1.0181764265 91.7049935459 30.568331182 0.6666666666666666
K2LiAlP2 -7.349046133669757 0.5050090405000001 1.1077844311 0.7724700599000001 1.48580364 0.8345875278 1.526 0.4948214233 1.4305882353 1.5294117647 0.0909999999999999 1.0087912087912088 0.459061246 8.7058823529 3.6176470588 0.1666666666666666 0.6446938776000001 1.435 7.8588235294 26.6 10.0 24.5 1.526 9.0 2.30317008 2.4424858939999994 33.425132520000005 29.011110433333336 2.5830500808579604 1.583769620433837 1.5778453469755618 2.6033120038568085 0.4135908232267173 0.4273374664213886 1.5299999999999998 2.3018713599 -0.4708922983 3.2493905025 1.5166666666666666 3.8325526612 0.8460898913 95.5925072227 31.8641690742 0.5
K2LiAlP2 -6.699618893988905 0.4793278316 1.1525974026 0.7693831169 1.8768301334 0.8025219100000001 1.526 0.5206251113 1.2229411765 1.7647058824 0.0909999999999999 1.0087912087912088 0.4357166188 8.3529411765 2.4117647059 0.1666666666666666 0.6174468085 1.435 7.2470588235 26.6 10.0 24.5 1.526 9.0 2.30317008 2.4424858939999994 33.425132520000005 29.011110433333336 2.5830500808579604 1.583769620433837 1.5778453469755618 2.6033120038568085 0.4135908232267173 0.4273374664213886 1.5299999999999998 2.4887425358 -0.135429482 3.0890685302 1.5166666666666666 3.3011180119 1.2692851871 100.7141191833 33.5713730611 0.4
KLi6TaO6 -10.584650827793398 0.7284151431 1.0541986508 1.2593859037 2.0076892121 0.8289558125 2.87 1.1698362951 1.81625 10.5833333333 0.81 0.7954545454545456 0.396164038 23.6041666667 3.375 0.4285714285714285 1.043975265 2.06 22.390625 29.250000000000004 9.249999999999998 22.714285714285715 2.87 6.999999999999999 2.815216100892857 3.7216849190625 39.505322500000005 25.549184285714286 0.6727522801880229 0.3783233177080788 0.7251738415618523 1.3062991732934184 0.2781570137245239 0.3781812570770756 0.90625 2.9640550572 0.1746865311 2.3215806741 1.1392857142857142 4.9571837617 1.1885088489 158.6365785385 11.3311841813 1.0
KLi6TaO6 -8.737992617340426 0.7028522748 0.9960178028 1.2497118763 2.4831900126 0.8340152151 2.87 1.1672420012 1.71375 9.75 0.81 0.7954545454545456 0.3822611294 22.1458333333 3.25 0.4285714285714285 1.0422787194 2.06 22.234375 29.250000000000004 9.249999999999998 22.714285714285715 2.87 6.999999999999999 2.815216100892857 3.7216849190625 39.505322500000005 25.549184285714286 0.6727522801880229 0.3783233177080788 0.7251738415618523 1.3062991732934184 0.2781570137245239 0.3781812570770756 0.90625 3.1083074495 0.0714588573 2.271738034 1.1392857142857142 4.8316490901 1.1037308906 164.4062204767 11.7433014626 0.6666666666666666
KLi6TaO6 -7.857762062496789 0.6764402677 1.0079840319 1.245254491 2.2634628093 0.866003261 2.87 1.1731464868 1.76125 8.875 0.81 0.7954545454545456 0.3678963987 21.0416666667 3.125 0.4285714285714285 1.07839445 2.06 20.875 29.250000000000004 9.249999999999998 22.714285714285715 2.87 6.999999999999999 2.815216100892857 3.7216849190625 39.505322500000005 25.549184285714286 0.6727522801880229 0.3783233177080788 0.7251738415618523 1.3062991732934184 0.2781570137245239 0.3781812570770756 0.90625 3.1700213959 0.1436700161 2.2698010902 1.1392857142857142 4.8228741005 1.1825901906 170.8255578136 12.2018255581 0.5
KLi6TaO6 -7.314008897883244 0.6530019565 1.0176531672 1.2585202492 2.0497289794 0.8358958301 2.87 1.171523851 1.645 8.9583333333 0.81 0.7954545454545456 0.3551489756 20.4166666667 2.0 0.4285714285714285 1.0519918284 2.06 20.0625 29.250000000000004 9.249999999999998 22.714285714285715 2.87 6.999999999999999 2.815216100892857 3.7216849190625 39.505322500000005 25.549184285714286 0.6727522801880229 0.3783233177080788 0.7251738415618523 1.3062991732934184 0.2781570137245239 0.3781812570770756 0.90625 3.1457020608 0.0612810495 2.3257231503 1.1392857142857142 4.1045761157 1.0745481841 176.9570288492 12.6397877749 0.4
KLi8Si -7.882446077581181 0.5115593902 1.1978672986 0.5872985782 1.8791204725 0.2016280066 1.36 0.294324344 1.042 10.3 0.3040000000000002 1.107382550335571 0.1878153811 12.6375 3.4 0.8 0.1184158416 1.056 10.55 43.500000000000014 30.50000000000001 19.9 1.3600000000000003 9.3 1.8303211555000003 2.725241737500001 33.59190000000001 12.27118 3.9795796796427143 3.3322877440990677 2.359195776198512 3.451032473489181 0.4699689606017558 0.5754488875689551 1.6500000000000008 2.9628360418 0.2937794113 2.4918481973 1.49 4.6208530699 1.6366500737 217.0734780326 21.7073478033 1.0
